Metric1,Metric2,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N
clashscore,angle_rmsz,0.573170814401631,8.736471615022083e-73,0.13613596367339553,9.206194747037981e-05,820
clashscore,molprobity_score,0.605466724754681,3.561009884859574e-83,0.9748122207603538,0.0,820
rama_favored_pct,rama_outliers_pct,-0.7789511522719947,5.839286356894651e-168,-0.6518357035872283,2.3376047920061584e-100,820
rama_favored_pct,rotamer_outliers_pct,-0.5728688348866973,1.0791676577856113e-72,-0.17019171495250343,9.490487561994423e-07,820
rama_favored_pct,angle_rmsz,-0.2642697035455881,1.4353841882322094e-14,-0.35024656284717287,4.471666832837563e-25,820
rama_favored_pct,molprobity_score,-0.4296159964152469,3.69161222075727e-38,-0.11946193833719909,0.0006081941824223502,820
rama_favored_pct,omega_twisted,-0.3262786465406228,8.581762935514295e-22,-0.35214264048565364,2.3896102340459684e-25,820
rama_outliers_pct,rotamer_outliers_pct,0.351154597057644,3.314145068071583e-25,0.19724319388849437,1.2292873572678518e-08,820
rama_outliers_pct,angle_rmsz,0.36662271544217157,1.7302647895998677e-27,0.382830605809211,5.120337754119276e-30,820
rama_outliers_pct,molprobity_score,0.47954493556514804,2.2182355253690354e-48,0.18039278103372036,1.987485316431636e-07,820
rama_outliers_pct,omega_twisted,0.3900856155517043,3.391034175775422e-31,0.3477933261276006,9.996200731143792e-25,820
rotamer_outliers_pct,bond_rmsz,-0.32610430317199174,9.045074099311334e-22,-0.3357599224562592,4.668785970912061e-23,820
rotamer_outliers_pct,molprobity_score,0.4133637237746157,3.4939211303202933e-35,0.20689302600298382,2.2273017227679248e-09,820
rotamer_outliers_pct,n_angles,-0.15518105571668073,8.044392803533786e-06,-0.3072459248355944,2.187690305491027e-19,820
bond_rmsz,n_bonds,0.34681876152061536,1.3733038777315102e-24,0.3140929116081902,3.1205344202666985e-20,820
bond_rmsz,n_angles,0.4156486324693961,1.363595231003682e-35,0.40117553084055035,4.681007447478066e-33,820
angle_rmsz,molprobity_score,0.4903056428016055,8.17788850037996e-51,0.1710955518463426,8.293062896457478e-07,820
angle_rmsz,omega_twisted,0.21238280422677255,8.115598689196908e-10,0.31043283138790356,8.893844718884015e-20,820
atom_count,n_bonds,0.9757921907733518,0.0,0.9358507437543747,0.0,820
atom_count,n_angles,0.9499792289687249,0.0,0.8802788238824814,4.2607651175736095e-267,820
n_bonds,n_angles,0.9949802144542594,0.0,0.9849763647101886,0.0,820
