Metric,Comparison,Cohens_d,Glass_delta,Cliffs_delta,Interpretation
clashscore,AlphaFold vs Boltz,-0.41351376052696104,-0.29757890404334936,-0.0641,small
clashscore,AlphaFold vs Experimental,0.20911461668600312,0.20280451013622583,0.161,small
clashscore,Boltz vs Experimental,0.3669593166159741,1.7199114951229773,0.3175,small
rama_favored_pct,AlphaFold vs Boltz,-1.184454703329065,-4.486867462119743,-0.7624,large
rama_favored_pct,AlphaFold vs Experimental,1.1765074320239932,0.7663911199450069,0.453,large
rama_favored_pct,Boltz vs Experimental,3.0125062330745127,1.2439978978579906,0.937,large
molprobity_score,AlphaFold vs Boltz,-0.12437064249772262,-0.15472094911187625,0.0467,negligible
molprobity_score,AlphaFold vs Experimental,-0.5590174575558344,-0.5237171197206155,-0.208,medium
molprobity_score,Boltz vs Experimental,-0.59910015096029,-0.42492585373059844,-0.2435,medium
bond_rmsz,AlphaFold vs Boltz,0.5595597908861215,0.49582199321034537,0.7804,medium
bond_rmsz,AlphaFold vs Experimental,1.1945359895544458,2.863298295094556,0.852,large
bond_rmsz,Boltz vs Experimental,0.3706726578124325,1.1694115939319567,0.416,small
angle_rmsz,AlphaFold vs Boltz,0.6040689668715564,0.46010509245677883,0.8288,medium
angle_rmsz,AlphaFold vs Experimental,0.16769259500161687,0.12768632681940947,0.249,negligible
angle_rmsz,Boltz vs Experimental,-0.41084676403384246,-0.68419710044515,-0.813,small
