category,subcategory,model,structure_loaded,valid_residues,backbone_connected,bond_lengths,bond_angles,steric_clashes,aromatic_flatness,peptide_planarity,chirality,complete_residues,internal_energy,all_pass,n_pass
Experimental,original,exp,True,True,False,False,False,True,True,False,True,True,False,False,6
Experimental,relaxed_cartesian_beta,r1,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_beta,r2,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_beta,r3,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_beta,r4,True,True,True,True,False,True,True,False,True,True,True,False,9
Experimental,relaxed_cartesian_beta,r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_cartesian_ref15,r1,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_ref15,r2,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_ref15,r3,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_ref15,r4,True,True,True,True,False,True,True,True,True,True,True,False,10
Experimental,relaxed_cartesian_ref15,r5,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_dualspace_beta,r1,True,True,False,False,True,False,True,False,True,True,True,False,7
Experimental,relaxed_dualspace_beta,r2,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_dualspace_beta,r3,True,True,False,False,False,True,True,True,True,True,True,False,8
Experimental,relaxed_dualspace_beta,r4,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_dualspace_beta,r5,True,True,False,False,False,False,True,False,True,True,True,False,6
Experimental,relaxed_dualspace_ref15,r1,True,True,False,False,False,True,True,False,True,True,True,False,7
Experimental,relaxed_dualspace_ref15,r2,True,True,False,False,False,False,True,False,True,True,True,False,6
Experimental,relaxed_dualspace_ref15,r3,True,True,False,False,True,False,True,False,True,True,True,False,7
Experimental,relaxed_dualspace_ref15,r4,True,True,False,False,False,False,True,False,True,True,True,False,6
Experimental,relaxed_dualspace_ref15,r5,True,True,False,False,False,False,True,False,True,True,True,False,6
Experimental,relaxed_normal_beta,r1,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_normal_beta,r2,True,True,False,False,False,True,True,True,True,True,True,False,8
Experimental,relaxed_normal_beta,r3,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_normal_beta,r4,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_normal_beta,r5,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_normal_ref15,r1,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_normal_ref15,r2,True,True,False,False,False,True,True,True,True,True,True,False,8
Experimental,relaxed_normal_ref15,r3,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_normal_ref15,r4,True,True,False,False,False,False,True,True,True,True,True,False,7
Experimental,relaxed_normal_ref15,r5,True,True,False,False,False,False,True,True,True,True,True,False,7
AlphaFold,raw,model0,True,True,True,True,True,True,True,True,True,True,True,True,11
AlphaFold,raw,model1,True,True,True,False,True,True,True,True,True,True,False,False,9
AlphaFold,raw,model2,True,True,True,False,True,False,True,False,True,True,False,False,7
AlphaFold,raw,model3,True,True,True,False,True,True,True,False,True,True,False,False,8
AlphaFold,raw,model4,True,True,True,False,True,True,True,True,True,True,False,False,9
AlphaFold,relaxed_cartesian_beta,ranked_0_r1,True,True,True,True,False,False,True,True,True,True,True,False,9
AlphaFold,relaxed_cartesian_beta,ranked_0_r2,True,True,True,True,False,False,True,True,True,True,True,False,9
AlphaFold,relaxed_cartesian_beta,ranked_0_r3,True,True,True,True,False,False,True,True,True,True,True,False,9
AlphaFold,relaxed_cartesian_beta,ranked_0_r4,True,True,True,True,False,False,True,True,True,True,True,False,9
AlphaFold,relaxed_cartesian_beta,ranked_0_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_1_r1,True,True,True,True,False,False,True,True,True,True,True,False,9
AlphaFold,relaxed_cartesian_beta,ranked_1_r2,True,True,True,True,False,False,True,True,True,True,True,False,9
AlphaFold,relaxed_cartesian_beta,ranked_1_r3,True,True,True,True,False,False,True,True,True,True,True,False,9
AlphaFold,relaxed_cartesian_beta,ranked_1_r4,True,True,True,True,False,False,True,True,True,True,True,False,9
