protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1AVX,AlphaFold,raw,ranked_3,387,8,1,396,97.73,0.25,329,3,337,97.63,0.89,0,0,0,0,11.91,71,5960,1.09
1AVX,AlphaFold,raw,ranked_4,387,8,1,396,97.73,0.25,328,3,337,97.33,0.89,0,0,0,0,12.08,72,5961,1.1
1AVX,Experimental,original,exp,335,51,3,389,86.12,0.77,252,33,318,79.25,10.41,0,0,0,0,21.81,125,5732,2.11
1AVX,Boltz,raw,boltz_input_model_3,388,8,0,396,97.98,0.0,333,0,337,98.81,0.0,0,0,0,0,7.88,47,5966,0.93
1AVX,AlphaFold,raw,ranked_1,385,9,2,396,97.22,0.51,328,3,337,97.33,0.89,0,0,0,0,16.78,100,5960,1.23
1AVX,Boltz,raw,boltz_input_model_2,389,7,0,396,98.23,0.0,334,0,337,99.11,0.0,0,0,0,0,5.2,31,5965,0.78
1AVX,Boltz,raw,boltz_input_model_1,391,5,0,396,98.74,0.0,331,2,337,98.22,0.6,0,0,0,0,10.06,60,5966,1.02
1AVX,Boltz,raw,boltz_input_model_4,386,10,0,396,97.47,0.0,333,1,337,98.81,0.3,0,0,0,0,8.39,50,5963,0.95
1AVX,AlphaFold,raw,ranked_2,386,8,2,396,97.47,0.51,331,0,337,98.22,0.0,0,0,0,0,15.93,95,5962,1.21
1AVX,Boltz,raw,boltz_input_model_0,388,8,0,396,97.98,0.0,332,0,337,98.52,0.0,0,0,0,0,8.88,53,5966,0.98
1AVX,AlphaFold,raw,ranked_0,383,13,0,396,96.72,0.0,330,1,337,97.92,0.3,1,0,0,2,0.0,0,5968,0.0
1AVX,Experimental,relaxed_cartesian_beta,1AVX_r2,381,9,1,391,97.44,0.26,332,0,333,99.7,0.0,0,0,1,0,14.73,114,7738,1.17
1AVX,Experimental,relaxed_cartesian_beta,1AVX_r4,378,11,2,391,96.68,0.51,332,0,333,99.7,0.0,0,0,0,1,14.35,111,7737,1.16
1AVX,Experimental,relaxed_cartesian_beta,1AVX_r1,383,7,1,391,97.95,0.26,332,0,333,99.7,0.0,1,0,1,1,15.9,123,7738,1.2
1AVX,Experimental,relaxed_cartesian_beta,1AVX_r3,383,7,1,391,97.95,0.26,332,0,333,99.7,0.0,0,0,0,1,17.83,138,7738,1.25
1AVX,Experimental,relaxed_cartesian_ref15,1AVX_r2,383,7,1,391,97.95,0.26,332,0,333,99.7,0.0,0,0,0,1,18.22,141,7738,1.26
1AVX,Experimental,relaxed_cartesian_beta,1AVX_r5,381,9,1,391,97.44,0.26,332,0,333,99.7,0.0,0,0,1,0,15.38,119,7738,1.19
1AVX,Experimental,relaxed_cartesian_ref15,1AVX_r3,384,6,1,391,98.21,0.26,331,0,333,99.4,0.0,1,0,1,0,18.48,143,7737,1.26
1AVX,Experimental,relaxed_cartesian_ref15,1AVX_r4,383,7,1,391,97.95,0.26,332,0,333,99.7,0.0,0,0,0,1,17.7,137,7738,1.25
1AVX,Experimental,relaxed_cartesian_ref15,1AVX_r5,381,10,0,391,97.44,0.0,331,0,333,99.4,0.0,0,0,0,0,19.51,151,7738,1.29
1AVX,Experimental,relaxed_cartesian_ref15,1AVX_r1,385,6,0,391,98.47,0.0,331,0,333,99.4,0.0,0,0,1,0,19.77,153,7738,1.29
1AVX,Experimental,relaxed_dualspace_beta,1AVX_r2,377,11,1,389,96.92,0.26,332,0,333,99.7,0.0,0,0,0,0,17.46,135,7731,1.24
1AVX,Experimental,relaxed_dualspace_beta,1AVX_r4,377,11,1,389,96.92,0.26,332,0,333,99.7,0.0,0,0,0,0,18.75,145,7732,1.27
1AVX,Experimental,relaxed_dualspace_beta,1AVX_r3,379,9,1,389,97.43,0.26,332,0,333,99.7,0.0,0,0,0,0,16.17,125,7731,1.21
1AVX,Experimental,relaxed_dualspace_beta,1AVX_r1,379,9,1,389,97.43,0.26,332,0,333,99.7,0.0,0,0,0,0,15.39,119,7731,1.19
1AVX,Experimental,relaxed_dualspace_beta,1AVX_r5,379,9,1,389,97.43,0.26,332,0,333,99.7,0.0,0,0,0,0,17.33,134,7731,1.24
1AVX,Experimental,relaxed_dualspace_ref15,1AVX_r3,386,3,0,389,99.23,0.0,332,0,333,99.7,0.0,0,0,0,0,18.89,146,7731,1.27
1AVX,Experimental,relaxed_dualspace_ref15,1AVX_r2,384,4,1,389,98.71,0.26,332,0,333,99.7,0.0,0,0,0,0,18.37,142,7731,1.26
1AVX,Experimental,relaxed_normal_beta,1AVX_r4,379,9,1,389,97.43,0.26,332,0,333,99.7,0.0,0,0,0,0,16.41,127,7738,1.22
1AVX,Experimental,relaxed_dualspace_ref15,1AVX_r4,386,3,0,389,99.23,0.0,332,0,333,99.7,0.0,0,0,0,0,18.76,145,7731,1.27
1AVX,Experimental,relaxed_dualspace_ref15,1AVX_r1,382,7,0,389,98.2,0.0,332,0,333,99.7,0.0,0,0,0,0,18.5,143,7731,1.27
1AVX,Experimental,relaxed_normal_beta,1AVX_r2,380,8,1,389,97.69,0.26,332,0,333,99.7,0.0,0,0,0,0,16.28,126,7738,1.21
1AVX,Experimental,relaxed_dualspace_ref15,1AVX_r5,383,5,1,389,98.46,0.26,332,0,333,99.7,0.0,0,0,0,0,19.14,148,7731,1.28
1AVX,Experimental,relaxed_normal_beta,1AVX_r3,380,8,1,389,97.69,0.26,331,0,333,99.4,0.0,0,0,0,0,13.7,106,7738,1.15
1AVX,Experimental,relaxed_normal_beta,1AVX_r1,380,8,1,389,97.69,0.26,332,0,333,99.7,0.0,0,0,0,0,18.09,140,7738,1.26
1AVX,Experimental,relaxed_normal_beta,1AVX_r5,379,9,1,389,97.43,0.26,332,0,333,99.7,0.0,0,0,0,0,14.73,114,7738,1.17
1AVX,Experimental,relaxed_normal_ref15,1AVX_r2,378,11,0,389,97.17,0.0,332,0,333,99.7,0.0,0,0,0,0,16.93,131,7738,1.23
1AVX,Experimental,relaxed_normal_ref15,1AVX_r4,378,11,0,389,97.17,0.0,332,0,333,99.7,0.0,0,0,0,0,17.7,137,7738,1.25
1AVX,Experimental,relaxed_normal_ref15,1AVX_r1,379,10,0,389,97.43,0.0,332,0,333,99.7,0.0,0,0,0,0,17.96,139,7738,1.25
1AVX,Experimental,relaxed_normal_ref15,1AVX_r3,380,9,0,389,97.69,0.0,332,0,333,99.7,0.0,0,0,0,0,18.22,141,7738,1.26
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_0_r4,391,5,0,396,98.74,0.0,336,0,337,99.7,0.0,0,0,0,0,16.25,127,7815,1.21
1AVX,Experimental,relaxed_normal_ref15,1AVX_r5,380,9,0,389,97.69,0.0,332,0,333,99.7,0.0,0,0,0,0,17.32,134,7738,1.24
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_0_r3,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,17.53,137,7815,1.24
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_0_r2,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,16.25,127,7816,1.21
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_0_r1,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,17.02,133,7815,1.23
1AVX,AlphaFold,relaxed_normal_ref15,ranked_0_r2,390,6,0,396,98.48,0.0,336,0,337,99.7,0.0,0,0,0,0,17.13,134,7821,1.23
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_0_r5,391,5,0,396,98.74,0.0,336,0,337,99.7,0.0,0,0,0,0,17.53,137,7816,1.24
1AVX,AlphaFold,relaxed_normal_ref15,ranked_0_r4,389,7,0,396,98.23,0.0,336,0,337,99.7,0.0,0,0,0,0,17.64,138,7821,1.25
1AVX,AlphaFold,relaxed_normal_ref15,ranked_0_r1,388,8,0,396,97.98,0.0,334,0,337,99.11,0.0,0,0,0,0,18.28,143,7821,1.26
1AVX,AlphaFold,relaxed_normal_ref15,ranked_0_r3,391,5,0,396,98.74,0.0,336,0,337,99.7,0.0,0,0,0,0,18.41,144,7821,1.26
1AVX,AlphaFold,relaxed_normal_ref15,ranked_0_r5,390,6,0,396,98.48,0.0,335,0,337,99.41,0.0,0,0,0,0,17.26,135,7821,1.24
1AVX,AlphaFold,relaxed_cartesian_ref15,ranked_0_r3,393,3,0,396,99.24,0.0,336,0,337,99.7,0.0,0,0,0,0,19.18,150,7821,1.28
1AVX,AlphaFold,relaxed_cartesian_ref15,ranked_0_r2,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,18.28,143,7822,1.26
1AVX,AlphaFold,relaxed_cartesian_ref15,ranked_0_r5,393,3,0,396,99.24,0.0,336,0,337,99.7,0.0,0,0,0,0,17.52,137,7821,1.24
1AVX,AlphaFold,relaxed_normal_beta,ranked_0_r1,389,7,0,396,98.23,0.0,336,0,337,99.7,0.0,0,0,0,0,17.77,139,7821,1.25
1AVX,AlphaFold,relaxed_cartesian_ref15,ranked_0_r1,391,5,0,396,98.74,0.0,336,0,337,99.7,0.0,0,0,0,0,17.52,137,7821,1.24
1AVX,AlphaFold,relaxed_cartesian_ref15,ranked_0_r4,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,15.85,124,7822,1.2
1AVX,AlphaFold,relaxed_normal_beta,ranked_0_r4,388,8,0,396,97.98,0.0,336,0,337,99.7,0.0,0,0,0,0,18.03,141,7821,1.26
1AVX,AlphaFold,relaxed_normal_beta,ranked_0_r2,390,6,0,396,98.48,0.0,336,0,337,99.7,0.0,0,0,0,0,18.41,144,7821,1.26
1AVX,AlphaFold,relaxed_normal_beta,ranked_0_r3,390,6,0,396,98.48,0.0,335,0,337,99.41,0.0,0,0,0,0,16.49,129,7821,1.22
1AVX,AlphaFold,relaxed_normal_beta,ranked_0_r5,389,7,0,396,98.23,0.0,336,0,337,99.7,0.0,0,0,0,0,17.52,137,7821,1.24
1AVX,AlphaFold,relaxed_cartesian_beta,ranked_0_r2,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,13.68,107,7821,1.14
1AVX,AlphaFold,relaxed_cartesian_beta,ranked_0_r4,393,3,0,396,99.24,0.0,336,0,337,99.7,0.0,0,0,0,0,12.91,101,7821,1.12
1AVX,AlphaFold,relaxed_cartesian_beta,ranked_0_r1,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,14.45,113,7821,1.17
1AVX,AlphaFold,relaxed_cartesian_beta,ranked_0_r3,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,14.19,111,7821,1.16
1AVX,AlphaFold,relaxed_cartesian_beta,ranked_0_r5,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,13.17,103,7821,1.13
1AVX,AlphaFold,relaxed_dualspace_beta,ranked_0_r4,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,15.48,121,7815,1.19
1AVX,AlphaFold,relaxed_dualspace_beta,ranked_0_r2,393,3,0,396,99.24,0.0,335,0,337,99.41,0.0,0,0,0,0,15.61,122,7815,1.2
1AVX,AlphaFold,relaxed_dualspace_beta,ranked_0_r5,392,4,0,396,98.99,0.0,335,0,337,99.41,0.0,0,0,0,0,13.95,109,7815,1.15
1AVX,AlphaFold,relaxed_dualspace_beta,ranked_0_r3,391,5,0,396,98.74,0.0,336,0,337,99.7,0.0,0,0,0,0,14.97,117,7815,1.18
1AVX,AlphaFold,relaxed_dualspace_beta,ranked_0_r1,393,3,0,396,99.24,0.0,336,0,337,99.7,0.0,0,0,0,0,15.61,122,7815,1.2
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_1_r4,391,5,0,396,98.74,0.0,336,0,337,99.7,0.0,0,0,0,0,17.53,137,7814,1.24
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_1_r2,391,5,0,396,98.74,0.0,336,0,337,99.7,0.0,0,0,0,0,17.02,133,7813,1.23
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_1_r5,392,4,0,396,98.99,0.0,336,0,337,99.7,0.0,0,0,0,0,19.84,155,7813,1.29
1AVX,AlphaFold,relaxed_dualspace_ref15,ranked_1_r1,391,5,0,396,98.74,0.0,335,0,337,99.41,0.0,0,0,0,0,17.79,139,7813,1.25
1AVX,AlphaFold,relaxed_normal_ref15,ranked_1_r5,388,7,1,396,97.98,0.25,335,0,337,99.41,0.0,0,0,0,0,18.68,146,7817,1.27
