protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1JPS,Experimental,original,exp,595,21,0,616,96.59,0.0,519,12,550,94.36,2.19,0,6,0,0,6.16,59,9574,1.1
1JPS,Boltz,raw,boltz_input_model_0,641,10,1,652,98.31,0.15,567,0,577,98.27,0.0,0,6,0,0,12.98,130,10018,1.12
1JPS,Boltz,raw,boltz_input_model_3,640,11,1,652,98.16,0.15,569,0,577,98.61,0.0,0,6,0,0,15.36,154,10023,1.19
1JPS,AlphaFold,raw,ranked_4,618,19,15,652,94.79,2.3,554,9,577,96.01,1.56,0,6,0,3,29.85,299,10017,1.67
1JPS,Boltz,raw,boltz_input_model_2,644,7,1,652,98.77,0.15,567,2,577,98.27,0.35,0,6,0,0,15.66,157,10023,1.2
1JPS,AlphaFold,raw,ranked_3,623,12,17,652,95.55,2.61,530,19,577,91.85,3.3,0,6,0,0,28.43,285,10023,1.95
1JPS,Boltz,raw,boltz_input_model_1,640,12,0,652,98.16,0.0,568,1,577,98.44,0.17,0,6,0,0,13.17,132,10022,1.13
1JPS,AlphaFold,raw,ranked_1,618,19,15,652,94.79,2.3,547,13,577,94.8,2.26,0,6,0,1,24.85,249,10020,1.72
1JPS,Boltz,raw,boltz_input_model_4,642,9,1,652,98.47,0.15,571,0,577,98.96,0.0,0,6,0,0,12.67,127,10023,1.11
1JPS,AlphaFold,raw,ranked_2,619,19,14,652,94.94,2.15,547,15,577,94.8,2.6,0,6,0,2,35.31,354,10025,1.88
1JPS,AlphaFold,raw,ranked_0,628,22,2,652,96.32,0.31,549,12,577,95.15,2.08,0,6,0,3,1.6,16,10025,0.65
1JPS,Experimental,relaxed_cartesian_beta,1JPS_r2,607,10,3,620,97.9,0.48,545,0,550,99.09,0.0,0,6,2,1,13.99,174,12437,1.15
1JPS,Experimental,relaxed_cartesian_beta,1JPS_r4,606,11,3,620,97.74,0.48,545,0,550,99.09,0.0,0,6,2,1,14.55,181,12438,1.17
1JPS,Experimental,relaxed_cartesian_beta,1JPS_r3,604,14,2,620,97.42,0.32,544,0,550,98.91,0.0,1,6,1,1,12.78,159,12437,1.12
1JPS,Experimental,relaxed_cartesian_beta,1JPS_r1,605,12,3,620,97.58,0.48,544,0,550,98.91,0.0,0,7,2,1,12.86,160,12438,1.12
1JPS,Experimental,relaxed_cartesian_beta,1JPS_r5,603,15,2,620,97.26,0.32,544,0,550,98.91,0.0,0,7,2,1,14.23,177,12438,1.16
1JPS,Experimental,relaxed_cartesian_ref15,1JPS_r3,606,13,1,620,97.74,0.16,546,0,550,99.27,0.0,0,6,3,1,14.31,178,12438,1.16
1JPS,Experimental,relaxed_dualspace_beta,1JPS_r2,609,7,0,616,98.86,0.0,544,0,550,98.91,0.0,1,6,0,0,13.92,173,12426,1.15
1JPS,Experimental,relaxed_cartesian_ref15,1JPS_r1,603,12,5,620,97.26,0.81,546,1,550,99.27,0.18,0,6,1,0,14.71,183,12437,1.17
1JPS,Experimental,relaxed_cartesian_ref15,1JPS_r4,606,12,2,620,97.74,0.32,546,0,550,99.27,0.0,0,7,2,1,14.07,175,12437,1.16
1JPS,Experimental,relaxed_cartesian_ref15,1JPS_r2,607,11,2,620,97.9,0.32,547,0,550,99.45,0.0,0,6,4,0,15.76,196,12437,1.2
1JPS,Experimental,relaxed_cartesian_ref15,1JPS_r5,608,11,1,620,98.06,0.16,547,0,550,99.45,0.0,0,6,2,0,15.2,189,12438,1.19
1JPS,Experimental,relaxed_dualspace_beta,1JPS_r4,609,7,0,616,98.86,0.0,544,0,550,98.91,0.0,0,6,0,0,12.88,160,12426,1.12
1JPS,Experimental,relaxed_dualspace_beta,1JPS_r1,609,6,1,616,98.86,0.16,544,0,550,98.91,0.0,0,6,0,0,13.76,171,12426,1.15
1JPS,Experimental,relaxed_dualspace_beta,1JPS_r3,607,8,1,616,98.54,0.16,543,0,550,98.73,0.0,0,6,0,0,12.55,156,12426,1.11
1JPS,Experimental,relaxed_dualspace_ref15,1JPS_r1,604,11,1,616,98.05,0.16,547,0,550,99.45,0.0,0,6,0,0,18.27,227,12426,1.26
1JPS,Experimental,relaxed_dualspace_beta,1JPS_r5,608,8,0,616,98.7,0.0,543,0,550,98.73,0.0,0,6,0,0,14.65,182,12426,1.17
1JPS,Experimental,relaxed_normal_beta,1JPS_r2,604,12,0,616,98.05,0.0,542,1,550,98.55,0.18,0,6,0,0,12.62,157,12438,1.11
1JPS,Experimental,relaxed_dualspace_ref15,1JPS_r4,603,13,0,616,97.89,0.0,546,0,550,99.27,0.0,0,6,0,0,14.89,185,12426,1.18
1JPS,Experimental,relaxed_dualspace_ref15,1JPS_r5,603,12,1,616,97.89,0.16,545,0,550,99.09,0.0,0,6,0,0,14.49,180,12426,1.17
1JPS,Experimental,relaxed_dualspace_ref15,1JPS_r2,600,15,1,616,97.4,0.16,547,0,550,99.45,0.0,0,6,0,0,14.97,186,12426,1.18
1JPS,Experimental,relaxed_normal_beta,1JPS_r4,605,11,0,616,98.21,0.0,541,0,550,98.36,0.0,0,6,0,0,13.51,168,12438,1.14
1JPS,Experimental,relaxed_dualspace_ref15,1JPS_r3,604,12,0,616,98.05,0.0,546,0,550,99.27,0.0,0,6,0,0,14.57,181,12426,1.17
1JPS,Experimental,relaxed_normal_beta,1JPS_r1,603,13,0,616,97.89,0.0,541,1,550,98.36,0.18,0,6,0,0,12.62,157,12438,1.11
1JPS,Experimental,relaxed_normal_beta,1JPS_r3,607,9,0,616,98.54,0.0,542,0,550,98.55,0.0,0,6,0,0,15.28,190,12438,1.19
1JPS,Experimental,relaxed_normal_beta,1JPS_r5,603,13,0,616,97.89,0.0,541,2,550,98.36,0.36,0,6,0,0,13.27,165,12438,1.13
1JPS,Experimental,relaxed_normal_ref15,1JPS_r4,603,13,0,616,97.89,0.0,546,0,550,99.27,0.0,0,6,0,0,15.44,192,12438,1.19
1JPS,Experimental,relaxed_normal_ref15,1JPS_r2,603,13,0,616,97.89,0.0,547,0,550,99.45,0.0,0,6,0,0,14.31,178,12438,1.16
1JPS,Experimental,relaxed_normal_ref15,1JPS_r1,604,12,0,616,98.05,0.0,546,0,550,99.27,0.0,0,6,0,0,15.44,192,12438,1.19
1JPS,Experimental,relaxed_normal_ref15,1JPS_r3,605,10,1,616,98.21,0.16,546,0,550,99.27,0.0,0,6,0,0,14.95,186,12438,1.18
1JPS,Experimental,relaxed_normal_ref15,1JPS_r5,604,12,0,616,98.05,0.0,546,0,550,99.27,0.0,0,6,0,0,15.52,193,12438,1.19
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r4,642,10,0,652,98.47,0.0,576,0,577,99.83,0.0,0,6,0,0,16.46,214,13002,1.22
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r2,642,10,0,652,98.47,0.0,575,0,577,99.65,0.0,0,6,0,0,17.61,229,13002,1.25
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r3,641,11,0,652,98.31,0.0,575,0,577,99.65,0.0,0,6,0,0,17.31,225,13002,1.24
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r1,640,11,1,652,98.16,0.15,573,0,577,99.31,0.0,0,6,0,0,16.38,213,13002,1.22
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r5,641,10,1,652,98.31,0.15,574,0,577,99.48,0.0,0,6,0,0,16.07,209,13002,1.21
1JPS,AlphaFold,relaxed_normal_ref15,ranked_0_r2,641,11,0,652,98.31,0.0,572,0,577,99.13,0.0,0,6,0,0,17.83,232,13011,1.25
1JPS,AlphaFold,relaxed_normal_ref15,ranked_0_r4,638,14,0,652,97.85,0.0,573,0,577,99.31,0.0,0,6,0,0,17.68,230,13011,1.25
1JPS,AlphaFold,relaxed_normal_ref15,ranked_0_r3,640,12,0,652,98.16,0.0,572,0,577,99.13,0.0,0,6,0,0,17.68,230,13011,1.25
1JPS,AlphaFold,relaxed_normal_ref15,ranked_0_r1,637,14,1,652,97.7,0.15,572,0,577,99.13,0.0,0,6,0,0,16.45,214,13011,1.22
1JPS,AlphaFold,relaxed_normal_ref15,ranked_0_r5,640,12,0,652,98.16,0.0,572,1,577,99.13,0.17,0,6,0,0,16.52,215,13011,1.22
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r4,641,11,0,652,98.31,0.0,574,0,577,99.48,0.0,0,6,0,0,16.91,220,13011,1.23
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r2,642,10,0,652,98.47,0.0,575,0,577,99.65,0.0,0,6,0,0,17.75,231,13011,1.25
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r1,642,10,0,652,98.47,0.0,574,0,577,99.48,0.0,0,6,0,0,17.37,226,13011,1.24
1JPS,AlphaFold,relaxed_normal_beta,ranked_0_r2,644,8,0,652,98.77,0.0,572,0,577,99.13,0.0,0,6,0,0,15.29,199,13011,1.19
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r3,643,8,1,652,98.62,0.15,576,0,577,99.83,0.0,0,6,0,0,17.6,229,13011,1.25
1JPS,AlphaFold,relaxed_normal_beta,ranked_0_r4,646,6,0,652,99.08,0.0,571,1,577,98.96,0.17,0,6,0,0,15.14,197,13011,1.18
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r5,644,8,0,652,98.77,0.0,574,0,577,99.48,0.0,0,6,0,0,17.37,226,13011,1.24
1JPS,AlphaFold,relaxed_normal_beta,ranked_0_r1,645,7,0,652,98.93,0.0,571,0,577,98.96,0.0,0,6,0,0,13.76,179,13011,1.15
1JPS,AlphaFold,relaxed_normal_beta,ranked_0_r3,644,8,0,652,98.77,0.0,571,1,577,98.96,0.17,0,6,0,0,14.22,185,13011,1.16
1JPS,AlphaFold,relaxed_normal_beta,ranked_0_r5,643,9,0,652,98.62,0.0,570,1,577,98.79,0.17,0,6,0,0,14.14,184,13011,1.16
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_0_r2,646,6,0,652,99.08,0.0,574,0,577,99.48,0.0,0,6,0,0,15.6,203,13011,1.2
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_0_r4,645,7,0,652,98.93,0.0,573,0,577,99.31,0.0,1,6,0,0,15.29,199,13011,1.19
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_0_r1,646,6,0,652,99.08,0.0,574,0,577,99.48,0.0,0,6,0,0,15.99,208,13011,1.21
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_0_r3,646,6,0,652,99.08,0.0,574,0,577,99.48,0.0,0,6,0,0,14.83,193,13011,1.18
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_0_r5,646,6,0,652,99.08,0.0,574,0,577,99.48,0.0,0,6,0,0,15.6,203,13011,1.2
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_0_r4,644,8,0,652,98.77,0.0,573,0,577,99.31,0.0,0,6,0,0,15.15,197,13002,1.19
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_0_r2,647,5,0,652,99.23,0.0,573,0,577,99.31,0.0,0,6,0,0,14.92,194,13002,1.18
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_0_r1,646,6,0,652,99.08,0.0,572,0,577,99.13,0.0,0,6,0,0,14.31,186,13002,1.16
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_0_r3,647,5,0,652,99.23,0.0,572,0,577,99.13,0.0,1,6,0,0,13.92,181,13002,1.15
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_0_r5,646,6,0,652,99.08,0.0,573,0,577,99.31,0.0,0,6,0,0,15.07,196,13002,1.18
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_1_r4,642,10,0,652,98.47,0.0,573,0,577,99.31,0.0,0,6,0,0,16.69,217,13001,1.22
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_1_r2,640,11,1,652,98.16,0.15,573,0,577,99.31,0.0,0,6,0,0,16.92,220,13001,1.23
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_1_r5,641,10,1,652,98.31,0.15,573,0,577,99.31,0.0,0,6,0,0,17.46,227,13001,1.24
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_1_r1,640,12,0,652,98.16,0.0,573,0,577,99.31,0.0,0,6,0,0,17.23,224,13001,1.24
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_1_r3,640,12,0,652,98.16,0.0,572,0,577,99.13,0.0,0,6,0,0,17.84,232,13001,1.25
1JPS,AlphaFold,relaxed_normal_ref15,ranked_1_r4,637,13,2,652,97.7,0.31,572,0,577,99.13,0.0,0,6,0,0,16.92,220,13006,1.23
1JPS,AlphaFold,relaxed_normal_ref15,ranked_1_r2,636,13,3,652,97.55,0.46,572,0,577,99.13,0.0,0,6,0,0,16.76,218,13005,1.23
1JPS,AlphaFold,relaxed_normal_ref15,ranked_1_r5,638,12,2,652,97.85,0.31,573,1,577,99.31,0.17,0,6,0,0,16.99,221,13006,1.23
1JPS,AlphaFold,relaxed_normal_ref15,ranked_1_r3,637,13,2,652,97.7,0.31,572,0,577,99.13,0.0,0,6,0,0,17.99,234,13006,1.25
1JPS,AlphaFold,relaxed_normal_ref15,ranked_1_r1,636,13,3,652,97.55,0.46,572,0,577,99.13,0.0,0,6,0,0,16.38,213,13006,1.22
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_1_r4,642,9,1,652,98.47,0.15,573,0,577,99.31,0.0,0,6,0,0,16.68,217,13013,1.22
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_1_r2,643,9,0,652,98.62,0.0,573,0,577,99.31,0.0,0,6,0,0,16.06,209,13013,1.21
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_1_r5,643,8,1,652,98.62,0.15,572,0,577,99.13,0.0,0,6,0,0,16.83,219,13013,1.23
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_1_r1,643,9,0,652,98.62,0.0,574,0,577,99.48,0.0,0,6,0,0,16.52,215,13013,1.22
1JPS,AlphaFold,relaxed_cartesian_ref15,ranked_1_r3,644,7,1,652,98.77,0.15,572,0,577,99.13,0.0,0,6,0,0,17.6,229,13013,1.25
1JPS,AlphaFold,relaxed_normal_beta,ranked_1_r4,638,12,2,652,97.85,0.31,573,1,577,99.31,0.17,0,6,0,0,15.3,199,13006,1.19
1JPS,AlphaFold,relaxed_normal_beta,ranked_1_r2,638,13,1,652,97.85,0.15,573,1,577,99.31,0.17,0,6,0,0,14.23,185,13005,1.16
1JPS,AlphaFold,relaxed_normal_beta,ranked_1_r1,637,13,2,652,97.7,0.31,573,1,577,99.31,0.17,0,6,0,0,13.99,182,13006,1.15
1JPS,AlphaFold,relaxed_normal_beta,ranked_1_r5,637,13,2,652,97.7,0.31,573,1,577,99.31,0.17,0,6,0,0,14.99,195,13006,1.18
1JPS,AlphaFold,relaxed_normal_beta,ranked_1_r3,638,12,2,652,97.85,0.31,573,1,577,99.31,0.17,0,6,0,0,13.69,178,13006,1.14
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_1_r2,646,6,0,652,99.08,0.0,573,0,577,99.31,0.0,0,6,0,0,14.45,188,13013,1.17
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_1_r4,646,6,0,652,99.08,0.0,573,0,577,99.31,0.0,0,6,0,0,14.37,187,13013,1.16
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_1_r5,646,6,0,652,99.08,0.0,573,0,577,99.31,0.0,0,6,0,0,13.68,178,13013,1.14
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_1_r1,647,5,0,652,99.23,0.0,573,0,577,99.31,0.0,0,6,0,0,15.37,200,13013,1.19
1JPS,AlphaFold,relaxed_cartesian_beta,ranked_1_r3,646,6,0,652,99.08,0.0,573,0,577,99.31,0.0,0,6,0,0,14.6,190,13013,1.17
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_1_r4,643,9,0,652,98.62,0.0,572,0,577,99.13,0.0,0,6,0,0,15.15,197,13001,1.19
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_1_r2,647,5,0,652,99.23,0.0,571,1,577,98.96,0.17,0,6,0,0,16.46,214,13001,1.22
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_1_r5,647,5,0,652,99.23,0.0,573,0,577,99.31,0.0,0,6,0,0,14.61,190,13001,1.17
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_1_r1,645,7,0,652,98.93,0.0,571,0,577,98.96,0.0,1,6,0,0,14.31,186,13001,1.16
1JPS,AlphaFold,relaxed_dualspace_beta,ranked_1_r3,647,5,0,652,99.23,0.0,571,0,577,98.96,0.0,0,6,0,0,14.31,186,13001,1.16
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_3_r5,641,11,0,652,98.31,0.0,572,2,577,99.13,0.35,0,6,0,0,16.77,218,13001,1.23
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_3_r1,642,10,0,652,98.47,0.0,571,2,577,98.96,0.35,0,6,0,0,17.0,221,13001,1.23
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_3_r3,640,12,0,652,98.16,0.0,574,0,577,99.48,0.0,0,6,0,0,16.15,210,13001,1.21
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_3_r4,642,10,0,652,98.47,0.0,572,1,577,99.13,0.17,0,6,0,0,16.38,213,13001,1.22
1JPS,AlphaFold,relaxed_dualspace_ref15,ranked_3_r2,640,11,1,652,98.16,0.15,574,0,577,99.48,0.0,0,6,0,0,17.0,221,13001,1.23
