protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1EFN,Experimental,original,exp,139,15,1,155,89.68,0.65,116,6,131,88.55,4.62,0,1,0,0,17.54,44,2508,1.75
1EFN,AlphaFold,raw,ranked_3,189,6,12,207,91.3,5.8,174,6,185,94.05,3.26,0,1,0,0,24.1,81,3361,2.16
1EFN,AlphaFold,raw,ranked_1,188,10,9,207,90.82,4.35,178,2,185,96.22,1.09,0,1,0,1,38.99,131,3360,1.9
1EFN,AlphaFold,raw,ranked_2,188,9,10,207,90.82,4.83,180,2,185,97.3,1.09,0,1,0,0,24.11,81,3360,1.74
1EFN,Experimental,relaxed_cartesian_beta,1EFN_r1,152,4,1,157,96.82,0.64,140,0,142,98.59,0.0,0,1,0,1,8.26,28,3390,0.95
1EFN,AlphaFold,raw,ranked_4,187,11,9,207,90.34,4.35,175,4,185,94.59,2.17,0,1,0,0,19.34,65,3361,1.84
1EFN,AlphaFold,raw,ranked_0,200,4,3,207,96.62,1.45,176,3,185,95.14,1.63,0,1,0,0,0.0,0,3363,0.16
1EFN,Boltz,raw,boltz_input_model_2,407,7,0,414,98.31,0.0,362,3,369,98.1,0.82,0,4,0,0,49.39,332,6722,1.67
1EFN,Boltz,raw,boltz_input_model_0,408,4,2,414,98.55,0.48,362,3,369,98.1,0.82,0,4,0,0,35.26,237,6722,1.53
1EFN,Boltz,raw,boltz_input_model_3,409,5,0,414,98.79,0.0,362,2,369,98.1,0.54,0,4,0,0,47.93,322,6718,1.66
1EFN,Boltz,raw,boltz_input_model_4,410,4,0,414,99.03,0.0,362,4,369,98.1,1.09,0,2,0,0,30.82,207,6716,1.5
1EFN,Boltz,raw,boltz_input_model_1,410,4,0,414,99.03,0.0,362,5,369,98.1,1.36,0,4,0,0,30.35,204,6722,1.57
1EFN,Experimental,relaxed_cartesian_beta,1EFN_r5,156,1,0,157,99.36,0.0,140,0,142,98.59,0.0,1,1,1,1,7.08,24,3389,0.89
1EFN,Experimental,relaxed_cartesian_beta,1EFN_r2,156,1,0,157,99.36,0.0,141,0,142,99.3,0.0,1,1,1,1,6.79,23,3389,0.87
1EFN,Experimental,relaxed_cartesian_beta,1EFN_r3,154,1,2,157,98.09,1.27,141,0,142,99.3,0.0,0,1,0,1,4.42,15,3390,0.72
1EFN,Experimental,relaxed_cartesian_ref15,1EFN_r1,151,5,1,157,96.18,0.64,141,0,142,99.3,0.0,0,1,2,1,13.28,45,3388,1.13
1EFN,Experimental,relaxed_cartesian_beta,1EFN_r4,154,2,1,157,98.09,0.64,140,0,142,98.59,0.0,0,1,2,0,6.49,22,3389,0.86
1EFN,Experimental,relaxed_cartesian_ref15,1EFN_r3,153,3,1,157,97.45,0.64,141,0,142,99.3,0.0,0,1,2,0,11.51,39,3389,1.08
1EFN,Experimental,relaxed_cartesian_ref15,1EFN_r5,153,3,1,157,97.45,0.64,141,0,142,99.3,0.0,0,1,1,1,7.08,24,3389,0.89
1EFN,Experimental,relaxed_cartesian_ref15,1EFN_r2,153,2,2,157,97.45,1.27,141,0,142,99.3,0.0,0,1,2,0,11.51,39,3389,1.08
1EFN,Experimental,relaxed_cartesian_ref15,1EFN_r4,154,3,0,157,98.09,0.0,141,0,142,99.3,0.0,0,1,3,0,11.21,38,3389,1.07
1EFN,Experimental,relaxed_dualspace_beta,1EFN_r3,155,0,0,155,100.0,0.0,141,0,142,99.3,0.0,0,1,0,0,6.8,23,3382,0.88
1EFN,Experimental,relaxed_dualspace_beta,1EFN_r1,154,1,0,155,99.35,0.0,141,0,142,99.3,0.0,0,1,0,0,7.39,25,3382,0.91
1EFN,Experimental,relaxed_dualspace_beta,1EFN_r5,152,3,0,155,98.06,0.0,141,0,142,99.3,0.0,0,1,0,0,10.35,35,3382,1.03
1EFN,Experimental,relaxed_dualspace_beta,1EFN_r2,155,0,0,155,100.0,0.0,141,0,142,99.3,0.0,0,1,0,0,7.1,24,3382,0.89
1EFN,Experimental,relaxed_dualspace_beta,1EFN_r4,155,0,0,155,100.0,0.0,140,0,142,98.59,0.0,0,1,0,0,8.57,29,3382,0.96
1EFN,Experimental,relaxed_dualspace_ref15,1EFN_r3,154,0,1,155,99.35,0.65,141,0,142,99.3,0.0,0,1,0,0,7.1,24,3382,0.89
1EFN,Experimental,relaxed_dualspace_ref15,1EFN_r1,153,2,0,155,98.71,0.0,141,0,142,99.3,0.0,0,1,0,0,8.57,29,3382,0.96
1EFN,Experimental,relaxed_dualspace_ref15,1EFN_r4,152,2,1,155,98.06,0.65,141,0,142,99.3,0.0,0,1,0,0,7.98,27,3382,0.94
1EFN,Experimental,relaxed_dualspace_ref15,1EFN_r5,152,2,1,155,98.06,0.65,141,0,142,99.3,0.0,0,1,0,0,5.03,17,3382,0.77
1EFN,Experimental,relaxed_dualspace_ref15,1EFN_r2,153,1,1,155,98.71,0.65,141,0,142,99.3,0.0,0,1,0,0,9.76,33,3382,1.01
1EFN,Experimental,relaxed_normal_beta,1EFN_r1,153,2,0,155,98.71,0.0,140,0,142,98.59,0.0,0,1,0,0,7.37,25,3390,0.91
1EFN,Experimental,relaxed_normal_beta,1EFN_r5,152,3,0,155,98.06,0.0,140,0,142,98.59,0.0,0,1,0,0,5.31,18,3390,0.78
1EFN,Experimental,relaxed_normal_beta,1EFN_r3,150,4,1,155,96.77,0.65,140,0,142,98.59,0.0,0,1,0,0,6.49,22,3390,0.86
1EFN,Experimental,relaxed_normal_beta,1EFN_r4,151,4,0,155,97.42,0.0,140,0,142,98.59,0.0,0,1,0,0,7.67,26,3390,0.92
1EFN,Experimental,relaxed_normal_beta,1EFN_r2,154,1,0,155,99.35,0.0,140,0,142,98.59,0.0,0,1,0,0,9.14,31,3390,0.99
1EFN,Experimental,relaxed_normal_ref15,1EFN_r1,152,3,0,155,98.06,0.0,141,0,142,99.3,0.0,0,1,0,0,9.73,33,3390,1.01
1EFN,Experimental,relaxed_normal_ref15,1EFN_r3,152,3,0,155,98.06,0.0,141,0,142,99.3,0.0,0,1,0,0,8.26,28,3390,0.95
1EFN,Experimental,relaxed_normal_ref15,1EFN_r2,151,4,0,155,97.42,0.0,141,0,142,99.3,0.0,0,1,0,0,10.32,35,3390,1.03
1EFN,Experimental,relaxed_normal_ref15,1EFN_r5,150,5,0,155,96.77,0.0,141,0,142,99.3,0.0,0,1,0,0,7.67,26,3390,0.92
1EFN,Experimental,relaxed_normal_ref15,1EFN_r4,151,4,0,155,97.42,0.0,140,0,142,98.59,0.0,0,1,0,0,11.21,38,3390,1.07
1EFN,AlphaFold,relaxed_dualspace_ref15,ranked_0_r2,204,3,0,207,98.55,0.0,184,0,185,99.46,0.0,0,1,0,0,13.59,59,4340,1.14
1EFN,AlphaFold,relaxed_dualspace_ref15,ranked_0_r4,205,2,0,207,99.03,0.0,184,0,185,99.46,0.0,0,1,0,0,11.29,49,4340,1.07
1EFN,AlphaFold,relaxed_dualspace_ref15,ranked_0_r1,204,3,0,207,98.55,0.0,184,0,185,99.46,0.0,0,1,0,0,10.83,47,4340,1.05
1EFN,AlphaFold,relaxed_dualspace_ref15,ranked_0_r3,204,3,0,207,98.55,0.0,184,0,185,99.46,0.0,0,1,0,0,11.75,51,4340,1.08
