protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1F51,AlphaFold,raw,ranked_4,292,4,1,297,98.32,0.34,263,1,273,96.34,0.37,0,1,0,0,17.92,88,4910,1.25
1F51,AlphaFold,raw,ranked_3,293,3,1,297,98.65,0.34,267,1,273,97.8,0.37,0,1,0,0,14.66,72,4910,1.17
1F51,AlphaFold,raw,ranked_1,293,4,0,297,98.65,0.0,268,0,273,98.17,0.0,0,1,0,0,16.29,80,4910,1.21
1F51,AlphaFold,raw,ranked_2,293,3,1,297,98.65,0.34,268,1,273,98.17,0.37,0,1,0,0,20.16,99,4910,1.3
1F51,AlphaFold,raw,ranked_0,293,4,0,297,98.65,0.0,266,1,273,97.44,0.37,1,1,0,0,0.41,2,4912,0.15
1F51,Experimental,original,exp,396,65,15,476,83.19,3.15,321,52,434,73.96,12.01,1,1,0,0,32.13,251,7812,2.5
1F51,Experimental,relaxed_cartesian_beta,1F51_r2,465,10,1,476,97.69,0.21,434,0,439,98.86,0.0,0,1,0,0,15.26,158,10352,1.19
1F51,Boltz,raw,boltz_input_model_0,1176,12,0,1188,98.99,0.0,1054,14,1089,96.79,1.29,0,4,0,0,34.48,677,19636,1.6
1F51,Boltz,raw,boltz_input_model_1,1171,16,1,1188,98.57,0.08,1064,17,1089,97.7,1.56,0,4,0,0,147.09,2748,18682,2.28
1F51,Boltz,raw,boltz_input_model_4,1167,16,5,1188,98.23,0.42,1064,15,1089,97.7,1.38,0,4,0,0,185.28,3447,18604,2.33
1F51,Boltz,raw,boltz_input_model_3,1171,17,0,1188,98.57,0.0,1057,13,1089,97.06,1.19,0,4,0,0,212.48,3946,18571,2.34
1F51,Boltz,raw,boltz_input_model_2,1172,16,0,1188,98.65,0.0,1063,12,1089,97.61,1.1,0,4,0,0,231.62,4287,18509,2.35
1F51,Experimental,relaxed_cartesian_beta,1F51_r5,466,9,1,476,97.9,0.21,433,0,439,98.63,0.0,0,1,0,0,12.46,129,10352,1.11
1F51,Experimental,relaxed_cartesian_beta,1F51_r4,465,10,1,476,97.69,0.21,434,0,439,98.86,0.0,0,1,0,0,13.04,135,10352,1.13
1F51,Experimental,relaxed_cartesian_beta,1F51_r3,469,6,1,476,98.53,0.21,434,0,439,98.86,0.0,0,1,0,0,13.91,144,10352,1.15
1F51,Experimental,relaxed_cartesian_beta,1F51_r1,468,6,2,476,98.32,0.42,433,0,439,98.63,0.0,0,1,0,0,14.59,151,10352,1.17
1F51,Experimental,relaxed_cartesian_ref15,1F51_r2,466,10,0,476,97.9,0.0,434,0,439,98.86,0.0,1,1,0,0,16.04,166,10352,1.21
1F51,Experimental,relaxed_cartesian_ref15,1F51_r4,466,8,2,476,97.9,0.42,433,0,439,98.63,0.0,0,1,0,0,17.87,185,10352,1.25
1F51,Experimental,relaxed_cartesian_ref15,1F51_r3,461,15,0,476,96.85,0.0,434,0,439,98.86,0.0,0,1,0,0,16.33,169,10352,1.22
1F51,Experimental,relaxed_cartesian_ref15,1F51_r1,466,8,2,476,97.9,0.42,436,0,439,99.32,0.0,0,1,0,0,16.9,175,10352,1.23
1F51,Experimental,relaxed_dualspace_beta,1F51_r2,467,8,1,476,98.11,0.21,436,0,439,99.32,0.0,0,1,0,0,14.7,152,10340,1.17
1F51,Experimental,relaxed_cartesian_ref15,1F51_r5,463,12,1,476,97.27,0.21,433,0,439,98.63,0.0,0,1,0,0,17.77,184,10352,1.25
1F51,Experimental,relaxed_dualspace_beta,1F51_r4,462,10,4,476,97.06,0.84,436,0,439,99.32,0.0,0,1,0,0,14.99,155,10340,1.18
1F51,Experimental,relaxed_dualspace_beta,1F51_r3,466,8,2,476,97.9,0.42,434,1,439,98.86,0.23,0,1,0,0,15.76,163,10340,1.2
1F51,Experimental,relaxed_dualspace_beta,1F51_r1,464,10,2,476,97.48,0.42,436,0,439,99.32,0.0,0,1,0,0,13.83,143,10340,1.15
1F51,Experimental,relaxed_dualspace_beta,1F51_r5,462,13,1,476,97.06,0.21,437,0,439,99.54,0.0,0,1,0,0,15.38,159,10340,1.19
1F51,Experimental,relaxed_dualspace_ref15,1F51_r2,466,9,1,476,97.9,0.21,436,0,439,99.32,0.0,0,1,0,0,16.54,171,10340,1.22
1F51,Experimental,relaxed_dualspace_ref15,1F51_r4,461,14,1,476,96.85,0.21,434,0,439,98.86,0.0,0,1,0,0,17.79,184,10340,1.25
1F51,Experimental,relaxed_dualspace_ref15,1F51_r3,462,12,2,476,97.06,0.42,436,0,439,99.32,0.0,1,1,0,0,16.44,170,10340,1.22
1F51,Experimental,relaxed_dualspace_ref15,1F51_r1,463,10,3,476,97.27,0.63,436,0,439,99.32,0.0,0,1,0,0,15.47,160,10340,1.19
1F51,Experimental,relaxed_dualspace_ref15,1F51_r5,462,11,3,476,97.06,0.63,434,0,439,98.86,0.0,0,1,0,0,16.25,168,10340,1.21
1F51,Experimental,relaxed_normal_beta,1F51_r2,455,17,4,476,95.59,0.84,433,0,439,98.63,0.0,0,1,0,0,14.2,147,10352,1.16
1F51,Experimental,relaxed_normal_beta,1F51_r4,459,15,2,476,96.43,0.42,435,0,439,99.09,0.0,0,1,0,0,16.23,168,10352,1.21
1F51,Experimental,relaxed_normal_beta,1F51_r1,454,19,3,476,95.38,0.63,435,0,439,99.09,0.0,0,1,0,0,16.81,174,10352,1.23
1F51,Experimental,relaxed_normal_beta,1F51_r5,458,15,3,476,96.22,0.63,436,0,439,99.32,0.0,0,1,0,0,14.49,150,10352,1.17
1F51,Experimental,relaxed_normal_beta,1F51_r3,458,14,4,476,96.22,0.84,435,0,439,99.09,0.0,0,1,0,0,14.39,149,10352,1.16
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_0_r2,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,17.11,111,6487,1.23
1F51,Experimental,relaxed_normal_ref15,1F51_r2,458,14,4,476,96.22,0.84,434,0,439,98.86,0.0,0,1,0,0,16.42,170,10352,1.22
1F51,Experimental,relaxed_normal_ref15,1F51_r3,462,10,4,476,97.06,0.84,432,0,439,98.41,0.0,0,1,0,0,17.1,177,10352,1.23
1F51,Experimental,relaxed_normal_ref15,1F51_r4,460,12,4,476,96.64,0.84,434,0,439,98.86,0.0,0,1,0,0,15.17,157,10352,1.19
1F51,Experimental,relaxed_normal_ref15,1F51_r1,455,17,4,476,95.59,0.84,433,0,439,98.63,0.0,0,1,0,0,16.71,173,10352,1.22
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_0_r4,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,14.8,96,6487,1.18
1F51,Experimental,relaxed_normal_ref15,1F51_r5,458,13,5,476,96.22,1.05,433,0,439,98.63,0.0,0,1,0,0,17.0,176,10352,1.23
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_0_r1,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,16.96,110,6487,1.23
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_0_r5,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,1,1,0,0,16.49,107,6487,1.22
1F51,AlphaFold,relaxed_normal_ref15,ranked_0_r2,291,6,0,297,97.98,0.0,271,0,273,99.27,0.0,0,1,0,0,17.4,113,6493,1.24
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_0_r3,295,2,0,297,99.33,0.0,272,0,273,99.63,0.0,0,1,0,0,17.27,112,6487,1.24
1F51,AlphaFold,relaxed_normal_ref15,ranked_0_r4,292,5,0,297,98.32,0.0,271,0,273,99.27,0.0,0,1,0,0,16.17,105,6493,1.21
1F51,AlphaFold,relaxed_normal_ref15,ranked_0_r5,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,16.63,108,6493,1.22
1F51,AlphaFold,relaxed_normal_ref15,ranked_0_r1,291,6,0,297,97.98,0.0,271,0,273,99.27,0.0,0,1,0,0,15.86,103,6493,1.2
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_0_r2,293,3,1,297,98.65,0.34,270,0,273,98.9,0.0,1,1,0,0,17.87,116,6493,1.25
1F51,AlphaFold,relaxed_normal_ref15,ranked_0_r3,291,6,0,297,97.98,0.0,271,0,273,99.27,0.0,0,1,0,0,17.25,112,6493,1.24
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_0_r4,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,16.17,105,6493,1.21
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_0_r1,294,2,1,297,98.99,0.34,270,0,273,98.9,0.0,1,1,0,0,16.94,110,6493,1.23
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_0_r3,292,4,1,297,98.32,0.34,269,0,273,98.53,0.0,0,1,0,0,16.33,106,6493,1.22
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_0_r5,292,5,0,297,98.32,0.0,270,0,273,98.9,0.0,0,1,0,0,17.56,114,6493,1.24
1F51,AlphaFold,relaxed_normal_beta,ranked_0_r4,293,4,0,297,98.65,0.0,269,0,273,98.53,0.0,0,1,0,0,16.63,108,6493,1.22
1F51,AlphaFold,relaxed_normal_beta,ranked_0_r3,294,3,0,297,98.99,0.0,270,0,273,98.9,0.0,0,1,0,0,12.17,79,6493,1.1
1F51,AlphaFold,relaxed_normal_beta,ranked_0_r2,292,5,0,297,98.32,0.0,269,0,273,98.53,0.0,0,1,0,0,14.32,93,6493,1.16
1F51,AlphaFold,relaxed_normal_beta,ranked_0_r1,293,4,0,297,98.65,0.0,270,0,273,98.9,0.0,0,1,0,0,14.48,94,6493,1.17
1F51,AlphaFold,relaxed_cartesian_beta,ranked_0_r2,292,5,0,297,98.32,0.0,271,0,273,99.27,0.0,0,1,0,0,16.48,107,6493,1.22
1F51,AlphaFold,relaxed_cartesian_beta,ranked_0_r1,291,6,0,297,97.98,0.0,271,0,273,99.27,0.0,0,1,0,0,14.63,95,6493,1.17
1F51,AlphaFold,relaxed_normal_beta,ranked_0_r5,294,3,0,297,98.99,0.0,269,0,273,98.53,0.0,0,1,0,0,14.94,97,6493,1.18
1F51,AlphaFold,relaxed_cartesian_beta,ranked_0_r4,293,4,0,297,98.65,0.0,270,1,273,98.9,0.37,0,1,0,0,15.86,103,6493,1.2
1F51,AlphaFold,relaxed_cartesian_beta,ranked_0_r3,293,4,0,297,98.65,0.0,270,0,273,98.9,0.0,1,1,0,0,16.79,109,6493,1.23
1F51,AlphaFold,relaxed_cartesian_beta,ranked_0_r5,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,13.86,90,6493,1.15
1F51,AlphaFold,relaxed_dualspace_beta,ranked_0_r2,294,3,0,297,98.99,0.0,272,0,273,99.63,0.0,0,1,0,0,16.65,108,6487,1.22
1F51,AlphaFold,relaxed_dualspace_beta,ranked_0_r4,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,15.42,100,6487,1.19
1F51,AlphaFold,relaxed_dualspace_beta,ranked_0_r1,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,15.72,102,6487,1.2
1F51,AlphaFold,relaxed_dualspace_beta,ranked_0_r5,292,5,0,297,98.32,0.0,272,0,273,99.63,0.0,0,1,0,0,15.57,101,6487,1.2
1F51,AlphaFold,relaxed_dualspace_beta,ranked_0_r3,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,13.87,90,6487,1.15
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_1_r4,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,15.73,102,6485,1.2
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_1_r1,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,15.27,99,6485,1.19
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_1_r3,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,1,1,0,0,16.19,105,6485,1.21
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_1_r2,296,1,0,297,99.66,0.0,271,0,273,99.27,0.0,0,1,0,0,16.65,108,6485,1.22
1F51,AlphaFold,relaxed_normal_ref15,ranked_1_r4,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,14.79,96,6492,1.18
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_1_r5,294,3,0,297,98.99,0.0,270,0,273,98.9,0.0,0,1,0,0,16.81,109,6485,1.23
1F51,AlphaFold,relaxed_normal_ref15,ranked_1_r2,294,2,1,297,98.99,0.34,271,0,273,99.27,0.0,0,1,0,0,15.87,103,6492,1.2
1F51,AlphaFold,relaxed_normal_ref15,ranked_1_r5,292,4,1,297,98.32,0.34,270,0,273,98.9,0.0,0,1,0,0,16.48,107,6492,1.22
1F51,AlphaFold,relaxed_normal_ref15,ranked_1_r1,294,2,1,297,98.99,0.34,271,0,273,99.27,0.0,0,1,0,0,15.4,100,6492,1.19
1F51,AlphaFold,relaxed_normal_ref15,ranked_1_r3,293,3,1,297,98.65,0.34,271,0,273,99.27,0.0,0,1,0,0,15.71,102,6492,1.2
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_1_r2,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,16.17,105,6493,1.21
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_1_r4,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,15.71,102,6493,1.2
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_1_r5,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,16.33,106,6493,1.22
1F51,AlphaFold,relaxed_normal_beta,ranked_1_r5,289,8,0,297,97.31,0.0,270,0,273,98.9,0.0,0,1,0,0,14.63,95,6492,1.17
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_1_r1,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,14.48,94,6493,1.17
1F51,AlphaFold,relaxed_normal_beta,ranked_1_r4,290,7,0,297,97.64,0.0,271,0,273,99.27,0.0,0,1,0,0,15.1,98,6492,1.18
1F51,AlphaFold,relaxed_normal_beta,ranked_1_r1,292,5,0,297,98.32,0.0,268,0,273,98.17,0.0,0,1,0,0,12.94,84,6492,1.12
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_1_r3,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,16.17,105,6493,1.21
1F51,AlphaFold,relaxed_normal_beta,ranked_1_r2,290,7,0,297,97.64,0.0,270,0,273,98.9,0.0,0,1,0,0,14.33,93,6492,1.16
1F51,AlphaFold,relaxed_normal_beta,ranked_1_r3,290,7,0,297,97.64,0.0,270,0,273,98.9,0.0,0,1,0,0,13.86,90,6492,1.15
1F51,AlphaFold,relaxed_cartesian_beta,ranked_1_r4,292,5,0,297,98.32,0.0,271,0,273,99.27,0.0,0,1,0,0,13.4,87,6493,1.14
1F51,AlphaFold,relaxed_cartesian_beta,ranked_1_r2,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,13.71,89,6493,1.15
1F51,AlphaFold,relaxed_cartesian_beta,ranked_1_r5,293,4,0,297,98.65,0.0,270,0,273,98.9,0.0,0,1,0,0,15.09,98,6493,1.18
1F51,AlphaFold,relaxed_cartesian_beta,ranked_1_r3,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,12.94,84,6493,1.12
1F51,AlphaFold,relaxed_cartesian_beta,ranked_1_r1,291,6,0,297,97.98,0.0,271,0,273,99.27,0.0,0,1,0,0,14.48,94,6493,1.17
1F51,AlphaFold,relaxed_dualspace_beta,ranked_1_r2,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,14.49,94,6485,1.17
1F51,AlphaFold,relaxed_dualspace_beta,ranked_1_r4,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,14.49,94,6485,1.17
1F51,AlphaFold,relaxed_dualspace_beta,ranked_1_r1,295,2,0,297,99.33,0.0,270,0,273,98.9,0.0,0,1,0,0,15.27,99,6485,1.19
1F51,AlphaFold,relaxed_dualspace_beta,ranked_1_r3,296,1,0,297,99.66,0.0,270,0,273,98.9,0.0,0,1,0,0,13.88,90,6485,1.15
1F51,AlphaFold,relaxed_dualspace_beta,ranked_1_r5,296,1,0,297,99.66,0.0,271,0,273,99.27,0.0,0,1,0,0,15.73,102,6485,1.2
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_3_r5,296,1,0,297,99.66,0.0,271,0,273,99.27,0.0,0,1,0,0,15.27,99,6485,1.19
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_3_r1,297,0,0,297,100.0,0.0,270,0,273,98.9,0.0,0,1,0,0,15.73,102,6485,1.2
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_3_r3,296,1,0,297,99.66,0.0,271,0,273,99.27,0.0,0,1,0,0,14.96,97,6485,1.18
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_3_r2,297,0,0,297,100.0,0.0,271,0,273,99.27,0.0,0,1,0,0,16.35,106,6485,1.22
1F51,AlphaFold,relaxed_dualspace_ref15,ranked_3_r4,297,0,0,297,100.0,0.0,271,0,273,99.27,0.0,0,1,0,0,15.88,103,6485,1.2
1F51,AlphaFold,relaxed_normal_ref15,ranked_3_r1,294,3,0,297,98.99,0.0,270,0,273,98.9,0.0,0,1,0,0,15.41,100,6491,1.19
1F51,AlphaFold,relaxed_normal_ref15,ranked_3_r5,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,15.41,100,6491,1.19
1F51,AlphaFold,relaxed_normal_ref15,ranked_3_r3,295,2,0,297,99.33,0.0,269,0,273,98.53,0.0,0,1,0,0,15.25,99,6491,1.19
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_3_r5,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,1,1,0,0,14.94,97,6493,1.18
1F51,AlphaFold,relaxed_normal_ref15,ranked_3_r4,295,2,0,297,99.33,0.0,269,0,273,98.53,0.0,0,1,0,0,16.64,108,6491,1.22
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_3_r1,297,0,0,297,100.0,0.0,271,0,273,99.27,0.0,1,1,0,0,16.02,104,6493,1.21
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_3_r4,297,0,0,297,100.0,0.0,271,0,273,99.27,0.0,0,1,0,0,14.48,94,6493,1.17
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_3_r3,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,16.33,106,6493,1.22
1F51,AlphaFold,relaxed_normal_ref15,ranked_3_r2,293,4,0,297,98.65,0.0,271,0,273,99.27,0.0,0,1,0,0,14.48,94,6491,1.17
1F51,AlphaFold,relaxed_cartesian_ref15,ranked_3_r2,297,0,0,297,100.0,0.0,271,0,273,99.27,0.0,0,1,0,0,15.25,99,6493,1.19
1F51,AlphaFold,relaxed_normal_beta,ranked_3_r5,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,12.48,81,6491,1.11
1F51,AlphaFold,relaxed_normal_beta,ranked_3_r1,296,1,0,297,99.66,0.0,271,0,273,99.27,0.0,0,1,0,0,12.17,79,6491,1.1
1F51,AlphaFold,relaxed_normal_beta,ranked_3_r3,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,11.71,76,6491,1.08
1F51,AlphaFold,relaxed_normal_beta,ranked_3_r4,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,12.17,79,6491,1.1
1F51,AlphaFold,relaxed_normal_beta,ranked_3_r2,294,3,0,297,98.99,0.0,271,0,273,99.27,0.0,0,1,0,0,14.33,93,6491,1.16
1F51,AlphaFold,relaxed_cartesian_beta,ranked_3_r4,295,2,0,297,99.33,0.0,271,0,273,99.27,0.0,0,1,0,0,14.48,94,6493,1.17
1F51,AlphaFold,relaxed_cartesian_beta,ranked_3_r3,296,1,0,297,99.66,0.0,271,0,273,99.27,0.0,0,1,0,0,11.7,76,6493,1.08
