protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1VFB,Boltz,raw,boltz_input_model_1,339,7,0,346,97.98,0.0,292,1,297,98.32,0.34,0,2,0,0,19.04,102,5356,1.28
1VFB,Experimental,original,exp,336,9,1,346,97.11,0.29,272,8,297,91.58,2.7,1,2,0,0,3.17,17,5364,0.94
1VFB,Boltz,raw,boltz_input_model_0,339,7,0,346,97.98,0.0,290,2,297,97.64,0.68,0,2,0,0,13.07,70,5356,1.13
1VFB,Boltz,raw,boltz_input_model_3,340,6,0,346,98.27,0.0,291,2,297,97.98,0.68,0,2,0,0,18.29,98,5358,1.26
1VFB,Boltz,raw,boltz_input_model_4,340,6,0,346,98.27,0.0,294,2,297,98.99,0.68,0,2,0,0,14.19,76,5354,1.16
1VFB,Boltz,raw,boltz_input_model_2,340,6,0,346,98.27,0.0,292,2,297,98.32,0.68,0,2,0,0,17.19,92,5353,1.24
1VFB,AlphaFold,raw,ranked_1,337,9,0,346,97.4,0.0,291,1,297,97.98,0.34,0,2,0,0,24.09,129,5356,1.37
1VFB,AlphaFold,raw,ranked_3,338,8,0,346,97.69,0.0,279,5,297,93.94,1.69,0,2,0,0,25.23,135,5351,1.56
1VFB,AlphaFold,raw,ranked_4,338,8,0,346,97.69,0.0,278,11,297,93.6,3.72,0,2,0,0,31.74,170,5356,1.92
1VFB,AlphaFold,raw,ranked_2,337,9,0,346,97.4,0.0,291,1,297,97.98,0.34,0,2,0,0,22.8,122,5352,1.35
1VFB,AlphaFold,raw,ranked_0,337,9,0,346,97.4,0.0,288,2,297,96.97,0.68,0,2,0,0,2.05,11,5361,0.48
1VFB,Experimental,relaxed_cartesian_beta,1VFB_r5,341,5,0,346,98.55,0.0,294,0,297,98.99,0.0,0,2,0,0,18.7,130,6951,1.27
1VFB,Experimental,relaxed_cartesian_beta,1VFB_r3,342,4,0,346,98.84,0.0,293,0,297,98.65,0.0,0,2,0,0,17.7,123,6951,1.25
1VFB,Experimental,relaxed_cartesian_beta,1VFB_r1,341,5,0,346,98.55,0.0,294,0,297,98.99,0.0,0,2,0,0,17.55,122,6951,1.24
1VFB,Experimental,relaxed_cartesian_beta,1VFB_r4,342,4,0,346,98.84,0.0,293,0,297,98.65,0.0,0,2,0,0,18.99,132,6951,1.28
1VFB,Experimental,relaxed_cartesian_ref15,1VFB_r5,339,7,0,346,97.98,0.0,295,0,297,99.33,0.0,0,2,0,0,18.41,128,6951,1.26
1VFB,Experimental,relaxed_cartesian_beta,1VFB_r2,339,7,0,346,97.98,0.0,294,0,297,98.99,0.0,0,2,0,0,17.41,121,6951,1.24
1VFB,Experimental,relaxed_cartesian_ref15,1VFB_r4,338,8,0,346,97.69,0.0,295,0,297,99.33,0.0,0,2,0,0,19.28,134,6951,1.28
1VFB,Experimental,relaxed_cartesian_ref15,1VFB_r1,340,6,0,346,98.27,0.0,295,0,297,99.33,0.0,0,2,0,0,18.85,131,6951,1.27
1VFB,Experimental,relaxed_dualspace_beta,1VFB_r5,341,5,0,346,98.55,0.0,294,0,297,98.99,0.0,0,2,0,0,17.29,120,6942,1.24
1VFB,Experimental,relaxed_cartesian_ref15,1VFB_r3,339,7,0,346,97.98,0.0,296,0,297,99.66,0.0,0,2,0,0,19.28,134,6951,1.28
1VFB,Experimental,relaxed_dualspace_beta,1VFB_r3,339,7,0,346,97.98,0.0,294,0,297,98.99,0.0,0,2,0,0,18.87,131,6942,1.27
1VFB,Experimental,relaxed_cartesian_ref15,1VFB_r2,338,8,0,346,97.69,0.0,295,0,297,99.33,0.0,0,2,0,0,18.85,131,6951,1.27
1VFB,Experimental,relaxed_dualspace_beta,1VFB_r1,341,5,0,346,98.55,0.0,294,0,297,98.99,0.0,0,2,0,0,18.44,128,6942,1.26
1VFB,Experimental,relaxed_dualspace_beta,1VFB_r4,341,5,0,346,98.55,0.0,294,0,297,98.99,0.0,0,2,0,0,16.57,115,6942,1.22
1VFB,Experimental,relaxed_dualspace_beta,1VFB_r2,341,5,0,346,98.55,0.0,294,0,297,98.99,0.0,0,2,0,0,18.01,125,6942,1.25
1VFB,Experimental,relaxed_dualspace_ref15,1VFB_r3,338,8,0,346,97.69,0.0,295,0,297,99.33,0.0,0,2,0,0,18.15,126,6942,1.26
1VFB,Experimental,relaxed_dualspace_ref15,1VFB_r5,340,6,0,346,98.27,0.0,295,0,297,99.33,0.0,0,2,0,0,17.57,122,6942,1.24
1VFB,Experimental,relaxed_dualspace_ref15,1VFB_r1,337,9,0,346,97.4,0.0,295,0,297,99.33,0.0,0,2,0,0,20.46,142,6942,1.31
1VFB,Experimental,relaxed_dualspace_ref15,1VFB_r4,339,7,0,346,97.98,0.0,295,0,297,99.33,0.0,0,2,0,0,18.73,130,6942,1.27
1VFB,Experimental,relaxed_normal_beta,1VFB_r5,338,8,0,346,97.69,0.0,292,0,297,98.32,0.0,0,2,0,0,17.98,125,6951,1.25
1VFB,Experimental,relaxed_dualspace_ref15,1VFB_r2,340,6,0,346,98.27,0.0,295,0,297,99.33,0.0,0,2,0,0,18.01,125,6942,1.25
1VFB,Experimental,relaxed_normal_beta,1VFB_r3,337,9,0,346,97.4,0.0,294,1,297,98.99,0.34,0,2,0,0,15.97,111,6951,1.21
1VFB,Experimental,relaxed_normal_beta,1VFB_r4,338,8,0,346,97.69,0.0,294,1,297,98.99,0.34,0,2,0,0,18.56,129,6951,1.27
1VFB,Experimental,relaxed_normal_beta,1VFB_r1,337,9,0,346,97.4,0.0,293,1,297,98.65,0.34,0,2,0,0,16.83,117,6951,1.23
1VFB,Experimental,relaxed_normal_beta,1VFB_r2,338,8,0,346,97.69,0.0,293,0,297,98.65,0.0,0,2,0,0,18.99,132,6951,1.28
1VFB,Experimental,relaxed_normal_ref15,1VFB_r5,341,5,0,346,98.55,0.0,293,1,297,98.65,0.34,0,2,0,0,18.27,127,6951,1.26
1VFB,Experimental,relaxed_normal_ref15,1VFB_r3,340,6,0,346,98.27,0.0,294,1,297,98.99,0.34,0,2,0,0,20.14,140,6951,1.3
1VFB,Experimental,relaxed_normal_ref15,1VFB_r1,340,6,0,346,98.27,0.0,294,1,297,98.99,0.34,0,2,0,0,17.12,119,6951,1.23
1VFB,Experimental,relaxed_normal_ref15,1VFB_r2,338,8,0,346,97.69,0.0,294,1,297,98.99,0.34,0,2,0,0,17.98,125,6951,1.25
1VFB,Experimental,relaxed_normal_ref15,1VFB_r4,340,6,0,346,98.27,0.0,294,1,297,98.99,0.34,0,2,0,0,17.7,123,6951,1.25
1VFB,AlphaFold,relaxed_dualspace_ref15,ranked_0_r2,337,9,0,346,97.4,0.0,293,1,297,98.65,0.34,0,2,0,0,19.01,132,6942,1.28
