protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1HCF,AlphaFold,raw,ranked_2,196,10,21,227,86.34,9.25,177,2,186,95.16,1.08,0,1,0,2,25.17,88,3496,1.94
1HCF,AlphaFold,raw,ranked_1,201,9,17,227,88.55,7.49,175,7,186,94.09,3.78,0,1,0,1,21.15,74,3499,2.23
1HCF,AlphaFold,raw,ranked_3,198,9,20,227,87.22,8.81,177,3,186,95.16,1.62,0,1,0,2,29.15,102,3499,2.12
1HCF,AlphaFold,raw,ranked_4,198,11,18,227,87.22,7.93,177,2,186,95.16,1.08,0,1,0,1,30.02,105,3498,1.97
1HCF,AlphaFold,raw,ranked_0,210,11,6,227,92.51,2.64,179,2,186,96.24,1.08,0,1,0,3,1.71,6,3501,0.57
1HCF,Experimental,original,exp,303,18,9,330,91.82,2.73,234,17,264,88.64,6.46,0,1,0,0,11.19,57,5094,1.82
1HCF,Boltz,raw,boltz_input_model_2,344,9,2,355,96.9,0.56,278,1,282,98.58,0.36,0,1,0,0,25.81,140,5424,1.4
1HCF,Boltz,raw,boltz_input_model_4,343,12,0,355,96.62,0.0,276,1,282,97.87,0.36,0,1,0,0,30.22,164,5426,1.47
1HCF,Boltz,raw,boltz_input_model_3,343,9,3,355,96.62,0.85,279,0,282,98.94,0.0,0,1,0,0,31.72,172,5423,1.49
1HCF,Boltz,raw,boltz_input_model_1,348,7,0,355,98.03,0.0,281,0,282,99.65,0.0,0,1,0,0,23.99,130,5419,1.37
1HCF,Boltz,raw,boltz_input_model_0,342,12,1,355,96.34,0.28,279,0,282,98.94,0.0,0,1,0,0,30.41,165,5426,1.47
1HCF,Experimental,relaxed_cartesian_beta,1HCF_r5,327,8,1,336,97.32,0.3,271,0,273,99.27,0.0,0,1,1,0,7.96,54,6784,0.93
1HCF,Experimental,relaxed_cartesian_beta,1HCF_r1,328,8,0,336,97.62,0.0,271,0,273,99.27,0.0,0,1,1,0,6.78,46,6785,0.87
1HCF,Experimental,relaxed_cartesian_beta,1HCF_r3,330,6,0,336,98.21,0.0,271,0,273,99.27,0.0,0,1,1,1,7.07,48,6785,0.89
1HCF,Experimental,relaxed_cartesian_beta,1HCF_r4,328,7,1,336,97.62,0.3,271,0,273,99.27,0.0,0,1,1,1,7.07,48,6785,0.89
1HCF,Experimental,relaxed_cartesian_beta,1HCF_r2,328,8,0,336,97.62,0.0,272,0,273,99.63,0.0,0,1,0,1,6.48,44,6786,0.86
1HCF,Experimental,relaxed_cartesian_ref15,1HCF_r5,330,6,0,336,98.21,0.0,272,0,273,99.63,0.0,0,1,0,1,7.66,52,6785,0.92
1HCF,Experimental,relaxed_cartesian_ref15,1HCF_r1,330,6,0,336,98.21,0.0,272,0,273,99.63,0.0,0,2,2,0,7.96,54,6785,0.93
1HCF,Experimental,relaxed_dualspace_beta,1HCF_r5,326,4,0,330,98.79,0.0,272,0,273,99.63,0.0,0,1,0,0,8.27,56,6774,0.95
1HCF,Experimental,relaxed_cartesian_ref15,1HCF_r3,326,10,0,336,97.02,0.0,271,0,273,99.27,0.0,0,2,1,0,9.28,63,6786,0.99
