protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1AZS,Experimental,original,exp,675,29,4,708,95.34,0.56,585,12,628,93.15,1.91,0,2,0,0,7.01,80,11409,1.1
1AZS,AlphaFold,raw,ranked_2,790,20,18,828,95.41,2.17,658,31,728,90.38,4.26,0,2,0,4,23.97,317,13226,1.89
1AZS,Boltz,raw,boltz_input_model_0,819,6,3,828,98.91,0.36,716,1,728,98.35,0.14,0,2,0,0,19.05,252,13229,1.28
1AZS,AlphaFold,raw,ranked_1,774,27,27,828,93.48,3.26,703,6,728,96.57,0.83,0,2,0,2,23.34,309,13237,1.56
1AZS,AlphaFold,raw,ranked_4,779,23,26,828,94.08,3.14,707,9,728,97.12,1.24,0,2,0,9,23.72,314,13236,1.63
1AZS,AlphaFold,raw,ranked_3,780,22,26,828,94.2,3.14,701,10,728,96.29,1.38,0,2,0,2,21.38,283,13237,1.62
1AZS,Boltz,raw,boltz_input_model_3,814,9,5,828,98.31,0.6,710,6,728,97.53,0.83,0,2,0,0,20.55,272,13236,1.31
1AZS,Boltz,raw,boltz_input_model_1,813,11,4,828,98.19,0.48,718,1,728,98.63,0.14,0,2,0,0,24.71,327,13233,1.38
1AZS,Boltz,raw,boltz_input_model_4,817,7,4,828,98.67,0.48,716,2,728,98.35,0.28,0,2,0,0,23.21,307,13227,1.36
1AZS,Boltz,raw,boltz_input_model_2,819,6,3,828,98.91,0.36,721,1,728,99.04,0.14,0,2,0,0,22.45,297,13228,1.34
1AZS,AlphaFold,raw,ranked_0,793,29,6,828,95.77,0.72,713,2,728,97.94,0.28,1,2,0,0,0.68,9,13240,0.22
1AZS,Experimental,relaxed_cartesian_beta,1AZS_r3,698,10,4,712,98.03,0.56,621,0,628,98.89,0.0,0,2,3,0,13.57,203,14957,1.14
1AZS,Experimental,relaxed_cartesian_beta,1AZS_r1,701,10,1,712,98.46,0.14,624,0,628,99.36,0.0,1,2,3,0,13.77,206,14957,1.15
1AZS,Experimental,relaxed_cartesian_beta,1AZS_r2,696,15,1,712,97.75,0.14,624,0,628,99.36,0.0,1,2,3,0,11.97,179,14955,1.09
1AZS,Experimental,relaxed_cartesian_ref15,1AZS_r1,702,10,0,712,98.6,0.0,626,0,628,99.68,0.0,1,2,3,1,15.04,225,14958,1.18
1AZS,Experimental,relaxed_cartesian_beta,1AZS_r5,691,17,4,712,97.05,0.56,623,1,628,99.2,0.16,1,2,2,0,11.7,175,14957,1.08
1AZS,Experimental,relaxed_cartesian_beta,1AZS_r4,697,15,0,712,97.89,0.0,623,0,628,99.2,0.0,1,2,1,0,13.04,195,14955,1.13
1AZS,Experimental,relaxed_cartesian_ref15,1AZS_r3,697,14,1,712,97.89,0.14,624,0,628,99.36,0.0,0,2,3,1,14.44,216,14957,1.17
1AZS,Experimental,relaxed_cartesian_ref15,1AZS_r5,700,12,0,712,98.31,0.0,624,0,628,99.36,0.0,0,3,5,0,14.31,214,14956,1.16
1AZS,Experimental,relaxed_cartesian_ref15,1AZS_r2,699,12,1,712,98.17,0.14,624,0,628,99.36,0.0,0,2,3,1,14.24,213,14958,1.16
1AZS,Experimental,relaxed_cartesian_ref15,1AZS_r4,697,12,3,712,97.89,0.42,626,0,628,99.68,0.0,0,2,4,0,14.04,210,14958,1.15
1AZS,Experimental,relaxed_dualspace_beta,1AZS_r3,699,9,0,708,98.73,0.0,621,1,628,98.89,0.16,0,2,0,0,13.92,208,14947,1.15
1AZS,Experimental,relaxed_dualspace_beta,1AZS_r1,702,6,0,708,99.15,0.0,625,0,628,99.52,0.0,0,2,0,0,14.05,210,14946,1.16
1AZS,Experimental,relaxed_dualspace_beta,1AZS_r5,700,8,0,708,98.87,0.0,624,2,628,99.36,0.32,0,2,0,0,13.45,201,14946,1.14
1AZS,Experimental,relaxed_dualspace_beta,1AZS_r2,700,8,0,708,98.87,0.0,625,0,628,99.52,0.0,0,2,0,0,13.31,199,14946,1.13
1AZS,Experimental,relaxed_dualspace_beta,1AZS_r4,699,9,0,708,98.73,0.0,621,1,628,98.89,0.16,0,2,0,0,12.71,190,14946,1.12
1AZS,Experimental,relaxed_dualspace_ref15,1AZS_r1,701,7,0,708,99.01,0.0,624,0,628,99.36,0.0,0,2,0,0,15.46,231,14946,1.19
1AZS,Experimental,relaxed_dualspace_ref15,1AZS_r3,701,7,0,708,99.01,0.0,625,0,628,99.52,0.0,0,2,0,0,14.18,212,14946,1.16
1AZS,Experimental,relaxed_normal_beta,1AZS_r3,698,10,0,708,98.59,0.0,623,1,628,99.2,0.16,0,2,0,0,12.5,187,14958,1.11
1AZS,Experimental,relaxed_normal_beta,1AZS_r5,699,9,0,708,98.73,0.0,623,1,628,99.2,0.16,0,2,0,0,12.7,190,14958,1.12
1AZS,Experimental,relaxed_dualspace_ref15,1AZS_r2,700,8,0,708,98.87,0.0,623,0,628,99.2,0.0,0,2,0,0,15.72,235,14946,1.2
1AZS,Experimental,relaxed_normal_beta,1AZS_r1,701,7,0,708,99.01,0.0,622,0,628,99.04,0.0,0,2,0,0,12.77,191,14958,1.12
1AZS,Experimental,relaxed_dualspace_ref15,1AZS_r4,702,6,0,708,99.15,0.0,624,0,628,99.36,0.0,2,2,0,0,16.06,240,14946,1.21
1AZS,Experimental,relaxed_dualspace_ref15,1AZS_r5,701,7,0,708,99.01,0.0,624,0,628,99.36,0.0,0,2,0,0,17.06,255,14947,1.23
1AZS,Experimental,relaxed_normal_beta,1AZS_r2,700,8,0,708,98.87,0.0,624,0,628,99.36,0.0,0,2,0,0,11.83,177,14958,1.09
1AZS,Experimental,relaxed_normal_beta,1AZS_r4,700,8,0,708,98.87,0.0,623,1,628,99.2,0.16,0,2,0,0,13.44,201,14958,1.14
1AZS,Experimental,relaxed_normal_ref15,1AZS_r3,698,10,0,708,98.59,0.0,625,0,628,99.52,0.0,0,2,0,0,15.11,226,14958,1.18
1AZS,Experimental,relaxed_normal_ref15,1AZS_r1,697,11,0,708,98.45,0.0,624,0,628,99.36,0.0,0,2,0,0,15.31,229,14958,1.19
1AZS,Experimental,relaxed_normal_ref15,1AZS_r2,699,9,0,708,98.73,0.0,626,1,628,99.68,0.16,0,2,0,0,17.18,257,14958,1.24
1AZS,Experimental,relaxed_normal_ref15,1AZS_r5,697,11,0,708,98.45,0.0,625,1,628,99.52,0.16,0,2,0,0,16.45,246,14958,1.22
1AZS,Experimental,relaxed_normal_ref15,1AZS_r4,700,8,0,708,98.87,0.0,624,1,628,99.36,0.16,0,2,0,0,16.38,245,14958,1.22
1AZS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r3,815,13,0,828,98.43,0.0,726,0,728,99.73,0.0,0,2,0,0,16.71,290,17359,1.22
1AZS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r2,810,18,0,828,97.83,0.0,726,0,728,99.73,0.0,0,2,0,0,18.09,314,17360,1.26
1AZS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r1,813,15,0,828,98.19,0.0,726,0,728,99.73,0.0,0,2,0,0,17.34,301,17359,1.24
1AZS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r4,811,17,0,828,97.95,0.0,726,0,728,99.73,0.0,0,2,0,0,17.57,305,17360,1.24
1AZS,AlphaFold,relaxed_dualspace_ref15,ranked_0_r5,814,14,0,828,98.31,0.0,727,0,728,99.86,0.0,0,2,0,0,17.11,297,17360,1.23
1AZS,AlphaFold,relaxed_normal_ref15,ranked_0_r2,809,18,1,828,97.71,0.12,725,0,728,99.59,0.0,0,2,0,0,18.54,322,17368,1.27
1AZS,AlphaFold,relaxed_normal_ref15,ranked_0_r4,810,18,0,828,97.83,0.0,726,0,728,99.73,0.0,0,2,0,0,18.48,321,17368,1.26
1AZS,AlphaFold,relaxed_normal_ref15,ranked_0_r1,809,19,0,828,97.71,0.0,724,0,728,99.45,0.0,0,2,0,0,18.02,313,17368,1.25
1AZS,AlphaFold,relaxed_normal_ref15,ranked_0_r3,810,18,0,828,97.83,0.0,726,0,728,99.73,0.0,0,2,0,0,17.68,307,17368,1.25
1AZS,AlphaFold,relaxed_normal_ref15,ranked_0_r5,808,19,1,828,97.58,0.12,726,0,728,99.73,0.0,0,2,0,0,17.21,299,17369,1.24
1AZS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r2,815,13,0,828,98.43,0.0,725,1,728,99.59,0.14,0,2,0,0,17.44,303,17369,1.24
1AZS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r4,815,13,0,828,98.43,0.0,727,0,728,99.86,0.0,0,2,0,0,17.44,303,17369,1.24
1AZS,AlphaFold,relaxed_normal_beta,ranked_0_r4,816,11,1,828,98.55,0.12,725,0,728,99.59,0.0,0,2,0,0,14.91,259,17368,1.18
1AZS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r1,811,17,0,828,97.95,0.0,726,1,728,99.73,0.14,0,2,0,0,17.56,305,17368,1.24
1AZS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r3,812,16,0,828,98.07,0.0,726,1,728,99.73,0.14,0,2,0,0,17.96,312,17368,1.25
1AZS,AlphaFold,relaxed_normal_beta,ranked_0_r2,817,11,0,828,98.67,0.0,726,0,728,99.73,0.0,0,2,0,0,13.76,239,17368,1.15
1AZS,AlphaFold,relaxed_cartesian_ref15,ranked_0_r5,813,15,0,828,98.19,0.0,726,0,728,99.73,0.0,0,2,0,0,17.1,297,17368,1.23
1AZS,AlphaFold,relaxed_normal_beta,ranked_0_r1,815,12,1,828,98.43,0.12,725,0,728,99.59,0.0,0,2,0,0,14.62,254,17368,1.17
1AZS,AlphaFold,relaxed_normal_beta,ranked_0_r3,816,11,1,828,98.55,0.12,726,0,728,99.73,0.0,0,2,0,0,15.14,263,17368,1.18
1AZS,AlphaFold,relaxed_normal_beta,ranked_0_r5,817,11,0,828,98.67,0.0,724,0,728,99.45,0.0,0,2,0,0,15.26,265,17368,1.19
1AZS,AlphaFold,relaxed_cartesian_beta,ranked_0_r2,820,8,0,828,99.03,0.0,726,0,728,99.73,0.0,0,2,0,0,13.13,228,17369,1.13
1AZS,AlphaFold,relaxed_cartesian_beta,ranked_0_r4,820,8,0,828,99.03,0.0,724,2,728,99.45,0.28,0,2,0,0,14.16,246,17368,1.16
1AZS,AlphaFold,relaxed_cartesian_beta,ranked_0_r1,818,10,0,828,98.79,0.0,725,0,728,99.59,0.0,0,2,0,0,13.76,239,17369,1.15
1AZS,AlphaFold,relaxed_cartesian_beta,ranked_0_r3,823,5,0,828,99.4,0.0,726,1,728,99.73,0.14,0,2,0,0,13.76,239,17368,1.15
