protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1AY7,Boltz,raw,boltz_input_model_3,178,3,0,181,98.34,0.0,159,0,161,98.76,0.0,0,2,0,0,4.87,14,2873,0.75
1AY7,Boltz,raw,boltz_input_model_1,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,2.78,8,2873,0.57
1AY7,Boltz,raw,boltz_input_model_4,179,2,0,181,98.9,0.0,158,0,161,98.14,0.0,0,2,0,0,7.31,21,2873,0.9
1AY7,AlphaFold,raw,ranked_1,177,4,0,181,97.79,0.0,159,0,161,98.76,0.0,0,2,0,0,7.31,21,2873,0.9
1AY7,Experimental,original,exp,174,6,1,181,96.13,0.55,146,6,161,90.68,3.75,19,2,0,1,4.87,14,2875,1.19
1AY7,AlphaFold,raw,ranked_4,177,4,0,181,97.79,0.0,159,0,161,98.76,0.0,0,2,0,0,8.7,25,2873,0.97
1AY7,Boltz,raw,boltz_input_model_2,178,3,0,181,98.34,0.0,158,0,161,98.14,0.0,0,2,0,0,2.78,8,2873,0.57
1AY7,Boltz,raw,boltz_input_model_0,178,3,0,181,98.34,0.0,158,1,161,98.14,0.62,0,2,0,0,4.18,12,2873,0.7
1AY7,AlphaFold,raw,ranked_2,177,4,0,181,97.79,0.0,159,0,161,98.76,0.0,0,2,0,0,9.74,28,2874,1.01
1AY7,AlphaFold,raw,ranked_0,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,0.0,0,2875,0.0
1AY7,AlphaFold,raw,ranked_3,177,4,0,181,97.79,0.0,158,0,161,98.14,0.0,0,2,0,0,6.61,19,2874,0.86
1AY7,Experimental,relaxed_cartesian_beta,1AY7_r4,179,1,1,181,98.9,0.55,159,0,161,98.76,0.0,0,2,0,0,13.66,51,3734,1.14
1AY7,Experimental,relaxed_cartesian_beta,1AY7_r2,179,1,1,181,98.9,0.55,159,0,161,98.76,0.0,0,2,0,0,16.6,62,3734,1.22
1AY7,Experimental,relaxed_cartesian_beta,1AY7_r1,179,1,1,181,98.9,0.55,159,0,161,98.76,0.0,0,2,0,0,17.68,66,3734,1.25
1AY7,Experimental,relaxed_cartesian_beta,1AY7_r3,179,1,1,181,98.9,0.55,159,0,161,98.76,0.0,0,2,0,0,17.68,66,3734,1.25
1AY7,Experimental,relaxed_cartesian_beta,1AY7_r5,179,1,1,181,98.9,0.55,159,0,161,98.76,0.0,0,2,0,0,18.48,69,3734,1.26
1AY7,Experimental,relaxed_cartesian_ref15,1AY7_r4,180,0,1,181,99.45,0.55,160,0,161,99.38,0.0,0,2,0,0,16.34,61,3734,1.22
1AY7,Experimental,relaxed_cartesian_ref15,1AY7_r2,179,1,1,181,98.9,0.55,159,0,161,98.76,0.0,0,2,0,0,18.75,70,3734,1.27
1AY7,Experimental,relaxed_cartesian_ref15,1AY7_r1,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,19.82,74,3734,1.29
1AY7,Experimental,relaxed_cartesian_ref15,1AY7_r5,179,1,1,181,98.9,0.55,160,0,161,99.38,0.0,0,2,0,0,16.87,63,3734,1.23
1AY7,Experimental,relaxed_cartesian_ref15,1AY7_r3,179,1,1,181,98.9,0.55,159,0,161,98.76,0.0,0,2,0,0,16.34,61,3734,1.22
1AY7,Experimental,relaxed_dualspace_beta,1AY7_r4,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,13.68,51,3728,1.14
1AY7,Experimental,relaxed_dualspace_beta,1AY7_r2,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,13.68,51,3728,1.14
1AY7,Experimental,relaxed_dualspace_beta,1AY7_r5,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,16.36,61,3728,1.22
1AY7,Experimental,relaxed_dualspace_beta,1AY7_r1,180,1,0,181,99.45,0.0,159,0,161,98.76,0.0,0,2,0,0,16.63,62,3728,1.22
1AY7,Experimental,relaxed_dualspace_beta,1AY7_r3,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,17.97,67,3728,1.25
1AY7,Experimental,relaxed_dualspace_ref15,1AY7_r1,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,17.17,64,3728,1.24
1AY7,Experimental,relaxed_dualspace_ref15,1AY7_r3,179,2,0,181,98.9,0.0,159,0,161,98.76,0.0,0,2,0,0,16.9,63,3728,1.23
