protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1EWY,AlphaFold,raw,ranked_1,386,7,4,397,97.23,1.01,332,1,339,97.94,0.3,0,1,0,0,13.19,82,6219,1.13
1EWY,AlphaFold,raw,ranked_3,384,8,5,397,96.73,1.26,330,1,339,97.35,0.3,0,1,0,0,15.11,94,6219,1.18
1EWY,AlphaFold,raw,ranked_2,384,9,4,397,96.73,1.01,321,1,339,94.69,0.3,0,1,0,0,11.9,74,6220,1.09
1EWY,AlphaFold,raw,ranked_4,385,7,5,397,96.98,1.26,331,1,339,97.64,0.3,0,1,0,0,11.42,71,6217,1.07
1EWY,Experimental,original,exp,327,47,11,385,84.94,2.86,192,80,330,58.18,24.32,0,0,0,1,48.69,295,6059,2.87
1EWY,AlphaFold,raw,ranked_0,385,12,0,397,96.98,0.0,326,2,339,96.17,0.59,0,1,0,0,0.8,5,6223,0.25
1EWY,Experimental,relaxed_cartesian_beta,1EWY_r4,378,9,0,387,97.67,0.0,330,0,332,99.4,0.0,0,0,0,0,9.53,76,7977,1.0
1EWY,Boltz,raw,boltz_input_model_2,688,10,0,698,98.57,0.0,588,1,594,98.99,0.17,0,2,0,0,12.92,142,10992,1.12
1EWY,Boltz,raw,boltz_input_model_1,690,8,0,698,98.85,0.0,589,3,594,99.16,0.51,0,2,0,0,16.83,185,10992,1.23
1EWY,Boltz,raw,boltz_input_model_0,690,8,0,698,98.85,0.0,589,1,594,99.16,0.17,0,2,0,0,15.28,168,10994,1.19
1EWY,Boltz,raw,boltz_input_model_3,689,9,0,698,98.71,0.0,586,0,594,98.65,0.0,0,2,0,0,24.1,265,10994,1.37
1EWY,Boltz,raw,boltz_input_model_4,690,8,0,698,98.85,0.0,586,2,594,98.65,0.34,0,2,0,0,18.01,198,10994,1.25
1EWY,Experimental,relaxed_cartesian_beta,1EWY_r2,376,10,1,387,97.16,0.26,330,0,332,99.4,0.0,0,0,0,0,8.65,69,7977,0.97
1EWY,Experimental,relaxed_cartesian_beta,1EWY_r3,377,9,1,387,97.42,0.26,328,0,332,98.8,0.0,0,0,0,0,10.28,82,7977,1.03
1EWY,Experimental,relaxed_cartesian_beta,1EWY_r1,372,14,1,387,96.12,0.26,329,0,332,99.1,0.0,0,0,0,0,8.27,66,7977,0.95
1EWY,Experimental,relaxed_cartesian_beta,1EWY_r5,374,11,2,387,96.64,0.52,329,0,332,99.1,0.0,0,0,0,0,10.15,81,7977,1.03
1EWY,Experimental,relaxed_cartesian_ref15,1EWY_r4,371,14,2,387,95.87,0.52,329,0,332,99.1,0.0,0,0,0,0,10.53,84,7977,1.04
1EWY,Experimental,relaxed_cartesian_ref15,1EWY_r2,375,9,3,387,96.9,0.78,330,0,332,99.4,0.0,0,0,0,0,10.4,83,7977,1.04
1EWY,Experimental,relaxed_cartesian_ref15,1EWY_r5,369,16,2,387,95.35,0.52,329,0,332,99.1,0.0,0,0,0,0,9.78,78,7977,1.01
1EWY,Experimental,relaxed_cartesian_ref15,1EWY_r1,371,13,3,387,95.87,0.78,331,0,332,99.7,0.0,0,0,0,0,11.66,93,7977,1.08
1EWY,Experimental,relaxed_dualspace_beta,1EWY_r2,372,15,0,387,96.12,0.0,328,1,332,98.8,0.3,1,0,0,1,7.91,63,7969,0.93
1EWY,Experimental,relaxed_dualspace_beta,1EWY_r4,370,17,0,387,95.61,0.0,329,0,332,99.1,0.0,0,0,0,1,9.91,79,7970,1.02
1EWY,Experimental,relaxed_dualspace_beta,1EWY_r5,375,12,0,387,96.9,0.0,329,0,332,99.1,0.0,2,0,0,1,8.91,71,7970,0.98
1EWY,Experimental,relaxed_cartesian_ref15,1EWY_r3,373,13,1,387,96.38,0.26,330,0,332,99.4,0.0,0,0,0,0,10.91,87,7976,1.06
1EWY,Experimental,relaxed_dualspace_beta,1EWY_r1,372,15,0,387,96.12,0.0,330,0,332,99.4,0.0,0,0,0,1,9.66,77,7970,1.01
1EWY,Experimental,relaxed_dualspace_beta,1EWY_r3,377,10,0,387,97.42,0.0,329,0,332,99.1,0.0,1,0,0,1,10.54,84,7970,1.04
1EWY,Experimental,relaxed_dualspace_ref15,1EWY_r4,373,12,2,387,96.38,0.52,331,0,332,99.7,0.0,1,0,0,1,10.79,86,7969,1.05
1EWY,Experimental,relaxed_dualspace_ref15,1EWY_r5,370,14,3,387,95.61,0.78,331,0,332,99.7,0.0,1,0,0,1,11.8,94,7969,1.09
1EWY,Experimental,relaxed_dualspace_ref15,1EWY_r2,372,14,1,387,96.12,0.26,330,0,332,99.4,0.0,0,0,0,1,11.29,90,7969,1.07
1EWY,Experimental,relaxed_dualspace_ref15,1EWY_r1,372,13,2,387,96.12,0.52,330,0,332,99.4,0.0,0,0,0,1,10.04,80,7969,1.02
1EWY,Experimental,relaxed_dualspace_ref15,1EWY_r3,372,13,2,387,96.12,0.52,330,0,332,99.4,0.0,1,0,0,1,12.42,99,7969,1.11
1EWY,Experimental,relaxed_normal_beta,1EWY_r4,370,14,1,385,96.1,0.26,326,0,332,98.19,0.0,0,0,0,0,11.79,94,7976,1.09
1EWY,Experimental,relaxed_normal_beta,1EWY_r2,370,13,2,385,96.1,0.52,327,1,332,98.49,0.3,0,0,0,0,12.66,101,7976,1.11
1EWY,Experimental,relaxed_normal_beta,1EWY_r5,370,13,2,385,96.1,0.52,329,0,332,99.1,0.0,0,0,0,0,11.28,90,7976,1.07
1EWY,Experimental,relaxed_normal_beta,1EWY_r1,366,18,1,385,95.06,0.26,327,1,332,98.49,0.3,0,0,0,1,13.92,111,7976,1.15
1EWY,Experimental,relaxed_normal_beta,1EWY_r3,371,13,1,385,96.36,0.26,329,0,332,99.1,0.0,0,0,0,0,13.41,107,7977,1.14
