protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1GLA,Experimental,original,exp,580,53,9,642,90.34,1.4,389,67,519,74.95,12.93,3,0,0,0,8.24,81,9832,1.79
1GLA,Boltz,raw,boltz_input_model_3,658,7,0,665,98.95,0.0,548,2,558,98.21,0.36,0,1,0,0,14.78,154,10421,1.18
1GLA,Boltz,raw,boltz_input_model_1,657,7,1,665,98.8,0.15,546,4,558,97.85,0.72,0,1,0,0,17.56,183,10421,1.24
1GLA,Boltz,raw,boltz_input_model_0,658,7,0,665,98.95,0.0,546,1,558,97.85,0.18,0,1,0,0,12.76,133,10423,1.12
1GLA,Boltz,raw,boltz_input_model_2,659,6,0,665,99.1,0.0,546,0,558,97.85,0.0,0,1,0,0,16.31,170,10423,1.21
1GLA,AlphaFold,raw,ranked_4,645,12,8,665,96.99,1.2,536,9,558,96.06,1.62,0,1,0,1,30.06,313,10411,1.62
1GLA,Boltz,raw,boltz_input_model_4,658,7,0,665,98.95,0.0,547,0,558,98.03,0.0,0,1,0,0,14.97,156,10424,1.18
1GLA,AlphaFold,raw,ranked_2,648,10,7,665,97.44,1.05,544,4,558,97.49,0.72,0,1,0,2,38.04,396,10411,1.56
1GLA,AlphaFold,raw,ranked_3,646,8,11,665,97.14,1.65,541,5,558,96.95,0.9,0,1,0,1,24.19,252,10417,1.37
1GLA,AlphaFold,raw,ranked_1,644,10,11,665,96.84,1.65,546,6,558,97.85,1.08,0,1,0,1,30.93,322,10412,1.5
1GLA,AlphaFold,raw,ranked_0,648,14,3,665,97.44,0.45,525,19,558,94.09,3.41,0,1,0,1,0.48,5,10425,0.57
1GLA,Experimental,relaxed_cartesian_beta,1GLA_r3,629,15,2,646,97.37,0.31,541,0,544,99.45,0.0,0,0,2,1,10.09,135,13380,1.02
1GLA,Experimental,relaxed_cartesian_beta,1GLA_r1,622,20,4,646,96.28,0.62,539,0,544,99.08,0.0,0,0,3,0,8.59,115,13382,0.96
1GLA,Experimental,relaxed_cartesian_beta,1GLA_r4,624,16,6,646,96.59,0.93,541,0,544,99.45,0.0,1,0,4,0,11.06,148,13380,1.06
1GLA,Experimental,relaxed_cartesian_beta,1GLA_r5,623,16,7,646,96.44,1.08,542,0,544,99.63,0.0,0,0,3,1,10.54,141,13379,1.04
1GLA,Experimental,relaxed_cartesian_beta,1GLA_r2,622,18,6,646,96.28,0.93,541,0,544,99.45,0.0,0,0,2,0,11.43,153,13381,1.07
1GLA,Experimental,relaxed_cartesian_ref15,1GLA_r1,616,22,8,646,95.36,1.24,540,0,544,99.26,0.0,0,0,1,2,12.11,162,13380,1.1
1GLA,Experimental,relaxed_cartesian_ref15,1GLA_r3,615,21,10,646,95.2,1.55,538,0,544,98.9,0.0,1,0,3,1,12.56,168,13381,1.11
1GLA,Experimental,relaxed_cartesian_ref15,1GLA_r5,620,19,7,646,95.98,1.08,540,0,544,99.26,0.0,1,0,1,2,12.18,163,13380,1.1
1GLA,Experimental,relaxed_cartesian_ref15,1GLA_r4,614,24,8,646,95.05,1.24,540,0,544,99.26,0.0,2,0,0,1,11.73,157,13381,1.08
1GLA,Experimental,relaxed_cartesian_ref15,1GLA_r2,615,25,6,646,95.2,0.93,541,0,544,99.45,0.0,1,0,2,1,11.21,150,13382,1.07
1GLA,Experimental,relaxed_dualspace_beta,1GLA_r3,626,13,3,642,97.51,0.47,539,0,544,99.08,0.0,0,0,0,0,9.87,132,13374,1.02
1GLA,Experimental,relaxed_dualspace_beta,1GLA_r1,621,17,4,642,96.73,0.62,540,0,544,99.26,0.0,0,0,0,0,8.9,119,13374,0.98
1GLA,Experimental,relaxed_dualspace_beta,1GLA_r5,622,17,3,642,96.88,0.47,540,0,544,99.26,0.0,0,0,0,0,9.2,123,13374,0.99
1GLA,Experimental,relaxed_dualspace_beta,1GLA_r2,625,13,4,642,97.35,0.62,538,0,544,98.9,0.0,0,0,0,0,8.3,111,13374,0.95
1GLA,Experimental,relaxed_dualspace_beta,1GLA_r4,623,16,3,642,97.04,0.47,541,0,544,99.45,0.0,0,0,0,0,10.02,134,13374,1.02
1GLA,Experimental,relaxed_dualspace_ref15,1GLA_r3,624,13,5,642,97.2,0.78,540,0,544,99.26,0.0,1,0,0,0,11.81,158,13374,1.09
1GLA,Experimental,relaxed_dualspace_ref15,1GLA_r1,623,13,6,642,97.04,0.93,540,0,544,99.26,0.0,0,0,0,0,9.12,122,13374,0.99
1GLA,Experimental,relaxed_dualspace_ref15,1GLA_r5,626,11,5,642,97.51,0.78,540,0,544,99.26,0.0,0,0,0,0,11.14,149,13374,1.06
1GLA,Experimental,relaxed_dualspace_ref15,1GLA_r4,623,13,6,642,97.04,0.93,539,0,544,99.08,0.0,1,0,0,0,10.92,146,13374,1.06
1GLA,Experimental,relaxed_normal_beta,1GLA_r3,614,24,4,642,95.64,0.62,540,0,544,99.26,0.0,0,0,0,0,12.11,162,13381,1.1
1GLA,Experimental,relaxed_normal_beta,1GLA_r1,618,19,5,642,96.26,0.78,539,0,544,99.08,0.0,0,0,0,0,11.36,152,13381,1.07
1GLA,Experimental,relaxed_dualspace_ref15,1GLA_r2,624,13,5,642,97.2,0.78,541,0,544,99.45,0.0,0,0,0,0,12.19,163,13374,1.1
1GLA,Experimental,relaxed_normal_beta,1GLA_r5,617,20,5,642,96.11,0.78,537,0,544,98.71,0.0,0,0,0,0,12.63,169,13381,1.11
1GLA,Experimental,relaxed_normal_beta,1GLA_r2,616,21,5,642,95.95,0.78,537,1,544,98.71,0.18,0,0,0,0,11.06,148,13381,1.06
1GLA,Experimental,relaxed_normal_beta,1GLA_r4,613,24,5,642,95.48,0.78,540,0,544,99.26,0.0,0,0,0,0,10.76,144,13381,1.05
1GLA,Experimental,relaxed_normal_ref15,1GLA_r3,618,17,7,642,96.26,1.09,541,0,544,99.45,0.0,0,0,0,0,10.69,143,13381,1.05
1GLA,Experimental,relaxed_normal_ref15,1GLA_r1,616,19,7,642,95.95,1.09,539,1,544,99.08,0.18,0,0,0,0,11.73,157,13381,1.08
1GLA,Experimental,relaxed_normal_ref15,1GLA_r2,616,18,8,642,95.95,1.25,540,0,544,99.26,0.0,0,0,0,0,13.08,175,13381,1.13
1GLA,Experimental,relaxed_normal_ref15,1GLA_r5,620,16,6,642,96.57,0.93,542,0,544,99.63,0.0,0,0,0,0,11.21,150,13381,1.07
1GLA,Experimental,relaxed_normal_ref15,1GLA_r4,618,18,6,642,96.26,0.93,540,0,544,99.26,0.0,0,0,0,0,12.18,163,13381,1.1
1GLA,AlphaFold,relaxed_dualspace_ref15,ranked_0_r2,660,5,0,665,99.25,0.0,555,0,558,99.46,0.0,0,1,0,0,11.51,158,13732,1.08
1GLA,AlphaFold,relaxed_dualspace_ref15,ranked_0_r4,655,10,0,665,98.5,0.0,554,0,558,99.28,0.0,0,1,0,0,11.29,155,13732,1.07
1GLA,AlphaFold,relaxed_dualspace_ref15,ranked_0_r1,654,11,0,665,98.35,0.0,552,0,558,98.92,0.0,0,1,0,0,11.94,164,13732,1.09
1GLA,AlphaFold,relaxed_dualspace_ref15,ranked_0_r3,658,7,0,665,98.95,0.0,553,0,558,99.1,0.0,0,1,0,0,10.7,147,13732,1.05
1GLA,AlphaFold,relaxed_dualspace_ref15,ranked_0_r5,656,9,0,665,98.65,0.0,553,0,558,99.1,0.0,0,1,0,0,11.8,162,13732,1.09
1GLA,AlphaFold,relaxed_normal_ref15,ranked_0_r2,652,13,0,665,98.05,0.0,551,0,558,98.75,0.0,0,1,0,0,13.03,179,13737,1.13
1GLA,AlphaFold,relaxed_normal_ref15,ranked_0_r4,653,12,0,665,98.2,0.0,553,0,558,99.1,0.0,0,1,0,0,13.32,183,13738,1.13
1GLA,AlphaFold,relaxed_normal_ref15,ranked_0_r1,652,13,0,665,98.05,0.0,552,0,558,98.92,0.0,0,1,0,0,12.08,166,13738,1.1
