protein,category,subcategory,model,rama_favored,rama_allowed,rama_outliers,rama_total,rama_favored_pct,rama_outliers_pct,rota_favored,rota_outliers,rota_total,rota_favored_pct,rota_outliers_pct,cbeta_deviations,omega_cis_proline,omega_cis_general,omega_twisted,clashscore,clash_count,atom_count,molprobity_score
1K74,Experimental,original,exp,452,41,29,522,86.59,5.56,382,34,446,85.65,7.64,0,1,0,0,23.36,194,8304,2.41
1K74,Boltz,raw,boltz_input_model_2,531,7,2,540,98.33,0.37,478,1,484,98.76,0.21,0,0,0,0,24.87,218,8764,1.39
1K74,AlphaFold,raw,ranked_1,496,16,28,540,91.85,5.19,451,11,484,93.18,2.28,0,1,0,2,25.68,225,8762,2.03
1K74,AlphaFold,raw,ranked_4,480,14,46,540,88.89,8.52,465,12,484,96.07,2.48,0,1,0,2,30.01,263,8764,2.27
1K74,Boltz,raw,boltz_input_model_3,528,10,2,540,97.78,0.37,476,2,484,98.35,0.41,0,1,0,0,20.08,176,8764,1.3
1K74,AlphaFold,raw,ranked_2,489,14,37,540,90.56,6.85,460,7,484,95.04,1.45,0,1,0,1,26.47,232,8764,1.98
1K74,Boltz,raw,boltz_input_model_1,534,4,2,540,98.89,0.37,477,2,484,98.55,0.41,0,1,0,0,28.18,247,8764,1.44
1K74,AlphaFold,raw,ranked_3,486,11,43,540,90.0,7.96,470,7,484,97.11,1.45,0,1,0,0,31.16,273,8762,2.09
1K74,Boltz,raw,boltz_input_model_4,531,8,1,540,98.33,0.19,480,0,484,99.17,0.0,0,1,0,0,27.84,244,8764,1.43
1K74,Boltz,raw,boltz_input_model_0,532,7,1,540,98.52,0.19,475,4,484,98.14,0.83,0,0,0,0,26.7,234,8763,1.41
1K74,AlphaFold,raw,ranked_0,513,20,7,540,95.0,1.3,464,4,484,95.87,0.83,0,1,0,2,0.68,6,8769,0.22
1K74,Experimental,relaxed_cartesian_beta,1K74_r2,498,18,6,522,95.4,1.15,469,1,471,99.58,0.21,1,1,0,0,14.8,169,11420,1.18
1K74,Experimental,relaxed_cartesian_beta,1K74_r4,499,19,4,522,95.59,0.77,468,1,471,99.36,0.21,0,1,0,0,14.71,168,11420,1.17
1K74,Experimental,relaxed_cartesian_beta,1K74_r3,496,20,6,522,95.02,1.15,469,1,471,99.58,0.21,0,1,0,0,14.71,168,11420,1.17
1K74,Experimental,relaxed_cartesian_beta,1K74_r5,496,19,7,522,95.02,1.34,470,0,471,99.79,0.0,0,1,0,0,14.8,169,11420,1.18
1K74,Experimental,relaxed_cartesian_beta,1K74_r1,498,23,1,522,95.4,0.19,468,0,471,99.36,0.0,0,1,0,0,13.66,156,11420,1.14
1K74,Experimental,relaxed_cartesian_ref15,1K74_r1,494,17,11,522,94.64,2.11,468,1,471,99.36,0.21,1,0,0,1,16.02,183,11420,1.23
1K74,Experimental,relaxed_cartesian_ref15,1K74_r2,496,16,10,522,95.02,1.92,469,0,471,99.58,0.0,0,0,0,1,17.25,197,11420,1.24
1K74,Experimental,relaxed_cartesian_ref15,1K74_r4,494,20,8,522,94.64,1.53,468,0,471,99.36,0.0,0,0,0,1,18.65,213,11420,1.27
1K74,Experimental,relaxed_dualspace_beta,1K74_r2,489,28,5,522,93.68,0.96,466,0,471,98.94,0.0,2,0,0,1,15.08,172,11406,1.18
1K74,Experimental,relaxed_cartesian_ref15,1K74_r3,495,19,8,522,94.83,1.53,469,0,471,99.58,0.0,0,0,0,1,16.55,189,11420,1.22
1K74,Experimental,relaxed_cartesian_ref15,1K74_r5,492,20,10,522,94.25,1.92,468,1,471,99.36,0.21,2,0,0,1,16.73,191,11420,1.22
1K74,Experimental,relaxed_dualspace_beta,1K74_r4,493,25,4,522,94.44,0.77,469,0,471,99.58,0.0,1,1,0,0,14.64,167,11406,1.17
1K74,Experimental,relaxed_dualspace_beta,1K74_r1,489,27,6,522,93.68,1.15,469,0,471,99.58,0.0,2,0,0,1,15.08,172,11406,1.18
1K74,Experimental,relaxed_dualspace_beta,1K74_r3,489,30,3,522,93.68,0.57,470,0,471,99.79,0.0,1,1,0,0,17.36,198,11406,1.24
1K74,Experimental,relaxed_dualspace_beta,1K74_r5,492,23,7,522,94.25,1.34,468,0,471,99.36,0.0,1,1,0,0,13.68,156,11406,1.14
1K74,Experimental,relaxed_dualspace_ref15,1K74_r2,491,22,9,522,94.06,1.72,470,0,471,99.79,0.0,0,0,0,1,16.04,183,11406,1.21
1K74,Experimental,relaxed_dualspace_ref15,1K74_r1,490,21,11,522,93.87,2.11,470,0,471,99.79,0.0,1,1,0,0,16.31,186,11406,1.24
1K74,Experimental,relaxed_dualspace_ref15,1K74_r4,491,24,7,522,94.06,1.34,470,0,471,99.79,0.0,1,0,0,1,17.71,202,11406,1.25
1K74,Experimental,relaxed_normal_beta,1K74_r2,487,26,9,522,93.3,1.72,470,0,471,99.79,0.0,0,1,0,0,15.67,179,11420,1.2
1K74,Experimental,relaxed_normal_beta,1K74_r4,488,27,7,522,93.49,1.34,469,0,471,99.58,0.0,0,1,0,0,16.46,188,11420,1.22
1K74,Experimental,relaxed_dualspace_ref15,1K74_r5,488,25,9,522,93.49,1.72,470,0,471,99.79,0.0,0,0,0,1,15.34,175,11406,1.19
1K74,Experimental,relaxed_normal_beta,1K74_r1,490,28,4,522,93.87,0.77,470,0,471,99.79,0.0,0,1,0,0,17.08,195,11420,1.23
1K74,Experimental,relaxed_dualspace_ref15,1K74_r3,488,24,10,522,93.49,1.92,470,0,471,99.79,0.0,1,0,0,1,15.52,177,11406,1.19
1K74,Experimental,relaxed_normal_beta,1K74_r3,488,25,9,522,93.49,1.72,469,0,471,99.58,0.0,0,1,0,0,16.11,184,11420,1.21
1K74,Experimental,relaxed_normal_beta,1K74_r5,483,33,6,522,92.53,1.15,467,0,471,99.15,0.0,0,1,0,0,17.86,204,11420,1.25
1K74,Experimental,relaxed_normal_ref15,1K74_r2,492,22,8,522,94.25,1.53,468,0,471,99.36,0.0,0,1,0,0,17.78,203,11420,1.25
1K74,Experimental,relaxed_normal_ref15,1K74_r1,488,26,8,522,93.49,1.53,467,1,471,99.15,0.21,0,1,0,0,18.65,213,11420,1.27
1K74,Experimental,relaxed_normal_ref15,1K74_r4,491,23,8,522,94.06,1.53,467,1,471,99.15,0.21,0,1,0,0,17.16,196,11420,1.24
1K74,Experimental,relaxed_normal_ref15,1K74_r3,487,27,8,522,93.3,1.53,467,1,471,99.15,0.21,0,1,0,0,17.6,201,11420,1.25
1K74,Experimental,relaxed_normal_ref15,1K74_r5,487,26,9,522,93.3,1.72,467,2,471,99.15,0.43,0,1,0,0,15.85,181,11420,1.2
1K74,AlphaFold,relaxed_dualspace_ref15,ranked_0_r2,533,7,0,540,98.7,0.0,481,1,484,99.38,0.21,0,1,0,0,16.51,192,11630,1.22
1K74,AlphaFold,relaxed_dualspace_ref15,ranked_0_r4,534,6,0,540,98.89,0.0,483,0,484,99.79,0.0,0,1,0,0,15.48,180,11630,1.19
1K74,AlphaFold,relaxed_dualspace_ref15,ranked_0_r3,532,8,0,540,98.52,0.0,482,0,484,99.59,0.0,0,1,0,0,15.05,175,11630,1.18
1K74,AlphaFold,relaxed_dualspace_ref15,ranked_0_r1,534,6,0,540,98.89,0.0,482,0,484,99.59,0.0,0,1,0,0,14.96,174,11630,1.18
1K74,AlphaFold,relaxed_dualspace_ref15,ranked_0_r5,534,6,0,540,98.89,0.0,483,0,484,99.79,0.0,0,1,0,0,14.45,168,11630,1.17
1K74,AlphaFold,relaxed_normal_ref15,ranked_0_r2,530,10,0,540,98.15,0.0,481,0,484,99.38,0.0,0,1,0,0,15.81,184,11639,1.2
1K74,AlphaFold,relaxed_normal_ref15,ranked_0_r4,530,9,1,540,98.15,0.19,478,1,484,98.76,0.21,0,1,0,0,14.0,163,11639,1.15
1K74,AlphaFold,relaxed_normal_ref15,ranked_0_r1,530,10,0,540,98.15,0.0,481,0,484,99.38,0.0,0,1,0,0,14.86,173,11639,1.18
1K74,AlphaFold,relaxed_cartesian_ref15,ranked_0_r2,534,6,0,540,98.89,0.0,482,0,484,99.59,0.0,0,1,0,0,14.09,164,11639,1.16
1K74,AlphaFold,relaxed_normal_ref15,ranked_0_r3,531,9,0,540,98.33,0.0,483,0,484,99.79,0.0,0,1,0,0,13.32,155,11639,1.13
1K74,AlphaFold,relaxed_normal_ref15,ranked_0_r5,533,7,0,540,98.7,0.0,481,0,484,99.38,0.0,0,1,0,0,15.89,185,11639,1.2
1K74,AlphaFold,relaxed_cartesian_ref15,ranked_0_r4,534,6,0,540,98.89,0.0,483,0,484,99.79,0.0,0,1,0,0,14.86,173,11639,1.18
1K74,AlphaFold,relaxed_normal_beta,ranked_0_r4,534,5,1,540,98.89,0.19,481,0,484,99.38,0.0,0,1,0,0,13.06,152,11639,1.13
1K74,AlphaFold,relaxed_normal_beta,ranked_0_r2,534,6,0,540,98.89,0.0,479,0,484,98.97,0.0,0,1,0,0,12.2,142,11639,1.1
1K74,AlphaFold,relaxed_cartesian_ref15,ranked_0_r1,532,8,0,540,98.52,0.0,483,0,484,99.79,0.0,0,1,0,0,14.35,167,11639,1.16
1K74,AlphaFold,relaxed_normal_beta,ranked_0_r1,535,4,1,540,99.07,0.19,481,0,484,99.38,0.0,0,1,0,0,14.52,169,11639,1.17
